Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	0.00397660054	0.00397660054	0.00397660054	0.00397660054	0	0	0	0	0	0	0	3
2	1	0	0.0320612533	0.00399648354	0.00398654204	0.00397660054	0.00399648354	9.94150135e-06	0	0	0	0	0	0	3
3	1	0	0.04809188	0.0040372437	0.00400344259	0.00397660054	0.0040372437	2.68420536e-05	0	0	0	0	0	0	3
4	2	0	0.0641225067	0.00410002428	0.00402758801	0.00397660054	0.00410002428	5.0987475e-05	0	0	0	0	0	0	3
5	2	0	0.0801531333	0.00418613011	0.00405929643	0.00397660054	0.00418613011	8.26958936e-05	0	0	0	0	0	0	3
6	2	0	0.09618376	0.00429485365	0.00409855597	0.00397660054	0.00429485365	0.00012195543	0	0	0	0	0	0	3
7	2	0	0.112214387	0.00439955018	0.00414155514	0.00397660054	0.00439955018	0.000164954603	0	0	0	0	0	0	3
8	2	0	0.128245013	0.00449998275	0.00418635859	0.00397660054	0.00449998275	0.000209758054	0	0	0	0	0	0	3
9	3	0	0.14427564	0.00459802463	0.00423209926	0.00397660054	0.00459802463	0.000255498725	0	0	0	0	0	0	3
10	3	0	0.160306267	0.0046946835	0.00427835769	0.00397660054	0.0046946835	0.000301757149	0	0	0	0	0	0	3
11	3	0	0.176336893	0.00479121618	0.00432498119	0.00397660054	0.00479121618	0.000348380649	0	0	0	0	0	0	3
12	3	0	0.19236752	0.00488364722	0.00437153669	0.00397660054	0.00488364722	0.000394936152	0	0	0	0	0	0	3
13	4	0	0.208398147	0.00497367201	0.00441785479	0.00397660054	0.00497367201	0.000441254253	0	0	0	0	0	0	3
14	4	0	0.224428773	0.00506238611	0.00446389274	0.00397660054	0.00506238611	0.000487292205	0	0	0	0	0	0	3
15	4	0	0.2404594	0.00515031601	0.00450965429	0.00397660054	0.00515031601	0.000533053756	0	0	0	0	0	0	3
16	4	0	0.256490027	0.00523753334	0.00455514673	0.00397660054	0.00523753334	0.000578546196	0	0	0	0	0	0	3
17	4	0	0.272520653	0.00532169503	0.00460023781	0.00397660054	0.00532169503	0.000623637272	0	0	0	0	0	0	3
18	5	0	0.28855128	0.00540378202	0.00464487916	0.00397660054	0.00540378202	0.000668278617	0	0	0	0	0	0	3
19	5	0	0.304581907	0.00548461386	0.00468907572	0.00397660054	0.00548461386	0.00071247518	0	0	0	0	0	0	3
20	5	0	0.320612533	0.00556458328	0.0047328511	0.00397660054	0.00556458328	0.000756250558	0	0	0	0	0	0	3
21	5	0	0.33664316	0.00564428063	0.0047762525	0.00397660054	0.00564428063	0.000799651965	0	0	0	0	0	0	3
22	6	0	0.352673787	0.00572132437	0.00481921032	0.00397660054	0.00572132437	0.000842609777	0	0	0	0	0	0	3
23	6	0	0.368704413	0.00579667569	0.00486170881	0.00397660054	0.00579667569	0.000885108272	0	0	0	0	0	0	3
24	6	0	0.38473504	0.00587088738	0.00490375792	0.00397660054	0.00587088738	0.000927157379	0	0	0	0	0	0	3
25	6	0	0.400765667	0.00594433951	0.00494538118	0.00397660054	0.00594433951	0.000968780642	0	0	0	0	0	0	3
26	6	0	0.416796293	0.00601711001	0.00498660152	0.00397660054	0.00601711001	0.00101000098	0	0	0	0	0	0	3
27	7	0	0.43282692	0.00608805549	0.00502739611	0.00397660054	0.00608805549	0.00105079557	0	0	0	0	0	0	3
28	7	0	0.448857547	0.0061576481	0.00506776225	0.00397660054	0.0061576481	0.00109116172	0	0	0	0	0	0	3
29	7	0	0.464888173	0.00622665137	0.00510772395	0.00397660054	0.00622665137	0.00113112341	0	0	0	0	0	0	3
30	7	0	0.4809188	0.00629502849	0.00514730077	0.00397660054	0.00629502849	0.00117070023	0	0	0	0	0	0	3
31	8	0	0.496949427	0.00636250857	0.00518650102	0.00397660054	0.00636250857	0.00120990048	0	0	0	0	0	0	3
32	8	0	0.512980053	0.00642827946	0.00522530659	0.00397660054	0.00642827946	0.00124870606	0	0	0	0	0	0	3
33	8	0	0.52901068	0.00649283115	0.0053039388	0.00399648354	0.00649283115	0.00131739676	0	0	0	0	0	0	3
34	8	0	0.545041307	0.00655641307	0.0053839366	0.0040372437	0.00655641307	0.00138049401	0	0	0	0	0	0	3
35	9	0	0.561071933	0.00661924919	0.00546462427	0.00410002428	0.00661924919	0.00143703626	0	0	0	0	0	0	3
36	9	0	0.57710256	0.00668142831	0.00554529315	0.00418613011	0.00668142831	0.00148599671	0	0	0	0	0	0	3
37	9	0	0.593133187	0.00674216346	0.00562516919	0.00429485365	0.00674216346	0.00152661322	0	0	0	0	0	0	3
38	9	0	0.609163813	0.00680173338	0.00570350918	0.00439955018	0.00680173338	0.00156195404	0	0	0	0	0	0	3
39	10	0	0.62519444	0.00686037906	0.00578041008	0.00449998275	0.00686037906	0.00159405149	0	0	0	0	0	0	3
40	10	0	0.641225067	0.0069182347	0.00585598046	0.00459802463	0.0069182347	0.00162388119	0	0	0	0	0	0	3
41	10	0	0.657255693	0.00697540732	0.00593027367	0.0046946835	0.00697540732	0.00165191598	0	0	0	0	0	0	3
42	10	0	0.67328632	0.00703125505	0.00600329153	0.00479121618	0.00703125505	0.00167831034	0	0	0	0	0	0	3
43	11	0	0.689316947	0.00708598024	0.0060750029	0.00488364722	0.00708598024	0.00170346621	0	0	0	0	0	0	3
44	11	0	0.705347573	0.00713974324	0.0061455059	0.00497367201	0.00713974324	0.00172765111	0	0	0	0	0	0	3
45	11	0	0.7213782	0.00719268074	0.00621484993	0.00506238611	0.00719268074	0.00175095718	0	0	0	0	0	0	3
46	11	0	0.737408827	0.00724490147	0.00628305353	0.00515031601	0.00724490147	0.00177339924	0	0	0	0	0	0	3
47	12	0	0.753439453	0.00729617318	0.00635011157	0.00523753334	0.00729617318	0.00179496483	0	0	0	0	0	0	3
48	12	0	0.76947008	0.00734665781	0.00641602171	0.00532169503	0.00734665781	0.0018157839	0	0	0	0	0	0	3
49	12	0	0.785500707	0.00739647591	0.00648085861	0.00540378202	0.00739647591	0.00183597945	0	0	0	0	0	0	3
50	12	0	0.801531333	0.00744571741	0.00654466909	0.00548461386	0.00744571741	0.00185559337	0	0	0	0	0	0	3
51	13	0	0.81756196	0.00749445713	0.00660747669	0.00556458328	0.00749445713	0.0018746256	0	0	0	0	0	0	3
52	13	0	0.833592587	0.00754274148	0.00666929414	0.00564428063	0.00754274148	0.00189304163	0	0	0	0	0	0	3
53	13	0	0.849623213	0.00759062597	0.00673011743	0.00572132437	0.00759062597	0.0018693016	0	0	0	0	0	0	3
54	13	0	0.86565384	0.00763816977	0.00679001885	0.00579667569	0.00763816977	0.00184149408	0	0	0	0	0	0	3
55	14	0	0.881684467	0.00768540958	0.00684904178	0.00587088738	0.00768540958	0.0018145222	0	0	0	0	0	0	3
56	14	0	0.897715093	0.00773238109	0.00690721346	0.00594433951	0.00773238109	0.00178804158	0	0	0	0	0	0	3
