Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	1.20370562	1.20370562	1.20370562	1.20370562	0	0	0	0	0.200415	0	0	3
2	1	0	0.0320612533	1.20972415	1.20671489	1.20370562	1.20972415	0.00300926406	0	0	0	0.370198	0	0	3
3	1	0	0.04809188	1.22206213	1.21183064	1.20370562	1.22206213	0.00812501296	0	0	0	0.523378	0	0	3
4	2	0	0.0641225067	1.24106564	1.21913939	1.20370562	1.24106564	0.015433763	0	0	0	0.685671	0	0	3
5	2	0	0.0801531333	1.26712963	1.22873743	1.20370562	1.26712963	0.0250318108	0	0	0	0.82566	0	0	3
6	2	0	0.09618376	1.30003993	1.24062118	1.20370562	1.30003993	0.0369155604	0	0	0	0.843568	0	0	3
7	2	0	0.112214387	1.33173127	1.25363691	1.20370562	1.33173127	0.0499312871	0	0	0	0.827346	0	0	3
8	2	0	0.128245013	1.36213192	1.26719879	1.20370562	1.36213192	0.0634931638	0	0	0	0.821934	0	0	3
9	3	0	0.14427564	1.39180892	1.28104436	1.20370562	1.39180892	0.0773387343	0	0	0	0.825481	0	0	3
10	3	0	0.160306267	1.42106729	1.29504665	1.20370562	1.42106729	0.0913410271	0	0	0	0.848123	0	0	3
11	3	0	0.176336893	1.45028745	1.30915945	1.20370562	1.45028745	0.105453827	0	0	0	0.851786	0	0	3
12	3	0	0.19236752	1.47826606	1.32325167	1.20370562	1.47826606	0.119546045	0	0	0	0.86355	0	0	3
13	4	0	0.208398147	1.50551631	1.33727203	1.20370562	1.50551631	0.133566402	0	0	0	0.881623	0	0	3
14	4	0	0.224428773	1.53236982	1.35120758	1.20370562	1.53236982	0.147501958	0	0	0	0.903527	0	0	3
15	4	0	0.2404594	1.55898595	1.36505947	1.20370562	1.55898595	0.161353849	0	0	0	0.92636	0	0	3
16	4	0	0.256490027	1.58538638	1.37882991	1.20370562	1.58538638	0.175124281	0	0	0	0.93624	0	0	3
17	4	0	0.272520653	1.61086188	1.39247884	1.20370562	1.61086188	0.188773221	0	0	0	0.951556	0	0	3
18	5	0	0.28855128	1.63570938	1.40599165	1.20370562	1.63570938	0.202286029	0	0	0	0.969458	0	0	3
19	5	0	0.304581907	1.66017695	1.41936983	1.20370562	1.66017695	0.215664202	0	0	0	0.990361	0	0	3
20	5	0	0.320612533	1.68438346	1.43262051	1.20370562	1.68438346	0.228914884	0	0	0	1.01271	0	0	3
21	5	0	0.33664316	1.70850762	1.44575799	1.20370562	1.70850762	0.242052366	0	0	0	1.02142	0	0	3
22	6	0	0.352673787	1.73182855	1.4587612	1.20370562	1.73182855	0.255055573	0	0	0	1.0343	0	0	3
23	6	0	0.368704413	1.75463717	1.47162537	1.20370562	1.75463717	0.267919746	0	0	0	1.05166	0	0	3
24	6	0	0.38473504	1.77710084	1.48435351	1.20370562	1.77710084	0.28064789	0	0	0	1.06898	0	0	3
25	6	0	0.400765667	1.79933459	1.49695276	1.20370562	1.79933459	0.293247133	0	0	0	1.08784	0	0	3
26	6	0	0.416796293	1.82136201	1.50943004	1.20370562	1.82136201	0.305724412	0	0	0	1.10004	0	0	3
27	7	0	0.43282692	1.84283701	1.52177844	1.20370562	1.84283701	0.318072819	0	0	0	1.11669	0	0	3
28	7	0	0.448857547	1.86390249	1.53399716	1.20370562	1.86390249	0.330291535	0	0	0	1.1332	0	0	3
29	7	0	0.464888173	1.88478958	1.54609345	1.20370562	1.88478958	0.342387825	0	0	0	1.15245	0	0	3
30	7	0	0.4809188	1.90548714	1.55807324	1.20370562	1.90548714	0.354367615	0	0	0	1.1678	0	0	3
31	8	0	0.496949427	1.92591317	1.56993904	1.20370562	1.92591317	0.366233419	0	0	0	1.17975	0	0	3
32	8	0	0.512980053	1.94582183	1.58168538	1.20370562	1.94582183	0.377979756	0	0	0	1.19264	0	0	3
33	8	0	0.52901068	1.96536144	1.60548712	1.20972415	1.96536144	0.398772236	0	0	0	1.2057	0	0	3
34	8	0	0.545041307	1.98460751	1.62970223	1.22206213	1.98460751	0.417871592	0	0	0	1.21842	0	0	3
35	9	0	0.561071933	2.00362782	1.65412616	1.24106564	2.00362782	0.43498677	0	0	0	1.23367	0	0	3
36	9	0	0.57710256	2.02244926	1.6785444	1.26712963	2.02244926	0.449806961	0	0	0	1.24227	0	0	3
37	9	0	0.593133187	2.04083362	1.70272265	1.30003993	2.04083362	0.462101461	0	0	0	1.25713	0	0	3
38	9	0	0.609163813	2.05886526	1.72643594	1.33173127	2.05886526	0.472799026	0	0	0	1.26591	0	0	3
39	10	0	0.62519444	2.07661715	1.74971362	1.36213192	2.07661715	0.482514833	0	0	0	1.31837	0	0	3
40	10	0	0.641225067	2.09412988	1.77258856	1.39180892	2.09412988	0.491544198	0	0	0	1.29147	0	0	3
41	10	0	0.657255693	2.11143587	1.7950769	1.42106729	2.11143587	0.500030248	0	0	0	1.31856	0	0	3
42	10	0	0.67328632	2.12834082	1.8171792	1.45028745	2.12834082	0.508019745	0	0	0	1.35261	0	0	3
43	11	0	0.689316947	2.14490598	1.83888603	1.47826606	2.14490598	0.515634357	0	0	0	1.42237	0	0	3
44	11	0	0.705347573	2.16117988	1.86022708	1.50551631	2.16117988	0.522955057	0	0	0	1.48821	0	0	3
45	11	0	0.7213782	2.17720392	1.88121732	1.53236982	2.17720392	0.530009738	0	0	0	1.50804	0	0	3
46	11	0	0.737408827	2.19301098	1.90186236	1.55898595	2.19301098	0.536802883	0	0	0	1.42082	0	0	3
47	12	0	0.753439453	2.20853078	1.92216063	1.58538638	2.20853078	0.543330728	0	0	0	1.40285	0	0	3
48	12	0	0.76947008	2.22381233	1.94211144	1.61086188	2.22381233	0.549632599	0	0	0	1.37922	0	0	3
49	12	0	0.785500707	2.23889213	1.96173739	1.63570938	2.23889213	0.555745737	0	0	0	1.39087	0	0	3
50	12	0	0.801531333	2.25379739	1.98105264	1.66017695	2.25379739	0.561682813	0	0	0	1.44679	0	0	3
51	13	0	0.81756196	2.26855077	2.00006432	1.68438346	2.26855077	0.567443813	0	0	0	1.51351	0	0	3
52	13	0	0.833592587	2.2831663	2.01877628	1.70850762	2.2831663	0.573018295	0	0	0	1.42867	0	0	3
53	13	0	0.849623213	2.2976608	2.03718732	1.73182855	2.2976608	0.565832255	0	0	0	1.45057	0	0	3
54	13	0	0.86565384	2.31205217	2.05531931	1.75463717	2.31205217	0.557414998	0	0	0	1.45592	0	0	3
55	14	0	0.881684467	2.32635153	2.07318538	1.77710084	2.32635153	0.549250686	0	0	0	1.4947	0	0	3
56	14	0	0.897715093	2.34056967	2.09079378	1.79933459	2.34056967	0.54123508	0	0	0	1.56331	0	0	3
57	14	0	0.91374572	2.35471244	2.10814934	1.82136201	2.35471244	0.533350427	0	0	0	1.55484	0	0	3
58	14	0	0.929776347	2.36878374	2.12525627	1.84283701	2.36878374	0.525946734	0	0	0	1.50856	0	0	3
59	15	0	0.945806974	2.38279233	2.14212988	1.86390249	2.38279233	0.518889839	0	0	0	1.52302	0	0	3
60	15	0	0.9618376	2.39674619	2.15878124	1.88478958	2.39674619	0.511956609	0	0	0	1.53571	0	0	3
61	15	0	0.977868227	2.41064735	2.1752143	1.90548714	2.41064735	0.505160209	0	0	0	1.5491	0	0	3
62	15	0	0.993898854	2.4245007	2.19143347	1.92591317	2.4245007	0.498587533	0	0	0	1.58964	0	0	3
63	16	0	1.00992948	2.43830764	2.2074458	1.94582183	2.43830764	0.492485808	0.0364873651	0	0	1.66129	0	0	3
