Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	101325	101325	101325	101325	0	0	0	0	10160.5	0	0	3
2	1	0	0.0320612533	101325	101325	101325	101325	1.45519152e-11	0	0	0	34821.9	0	0	3
3	1	0	0.04809188	101325	101325	101325	101325	1.45519152e-11	0	0	0	48959.6	0	0	3
4	2	0	0.0641225067	101325	101325	101325	101325	1.45519152e-11	0	0	0	65346.3	0	0	3
5	2	0	0.0801531333	101325	101325	101325	101325	1.45519152e-11	0	0	0	73313.9	0	0	3
6	2	0	0.09618376	101325	101325	101325	101325	1.45519152e-11	0	0	0	73654.3	0	0	3
7	2	0	0.112214387	101325	101325	101325	101325	1.45519152e-11	0	0	0	71512.2	0	0	3
8	2	0	0.128245013	101325	101325	101325	101325	1.45519152e-11	0	0	0	70478.1	0	0	3
9	3	0	0.14427564	101325	101325	101325	101325	1.45519152e-11	0	0	0	70714.2	0	0	3
10	3	0	0.160306267	101325	101325	101325	101325	1.45519152e-11	0	0	0	72273.3	0	0	3
11	3	0	0.176336893	101325	101325	101325	101325	1.45519152e-11	0	0	0	72789.5	0	0	3
12	3	0	0.19236752	101325	101325	101325	101325	1.45519152e-11	0	0	0	74294.8	0	0	3
13	4	0	0.208398147	101325	101325	101325	101325	1.45519152e-11	0	0	0	76149.2	0	0	3
14	4	0	0.224428773	101325	101325	101325	101325	1.45519152e-11	0	0	0	78131	0	0	3
15	4	0	0.2404594	101325	101325	101325	101325	1.45519152e-11	0	0	0	80220.7	0	0	3
16	4	0	0.256490027	101325	101325	101325	101325	1.45519152e-11	0	0	0	81290.9	0	0	3
17	4	0	0.272520653	101325	101325	101325	101325	1.45519152e-11	0	0	0	82812.8	0	0	3
18	5	0	0.28855128	101325	101325	101325	101325	1.45519152e-11	0	0	0	84519.5	0	0	3
19	5	0	0.304581907	101325	101325	101325	101325	1.45519152e-11	0	0	0	86222.7	0	0	3
20	5	0	0.320612533	101325	101325	101325	101325	1.45519152e-11	0	0	0	88050.4	0	0	3
21	5	0	0.33664316	101325	101325	101325	101325	1.32332498e-05	0	0	0	88873.5	0	0	3
22	6	0	0.352673787	101324.998	101325	101324.998	101325	0.000121366567	0	0	0	90074	0	0	3
23	6	0	0.368704413	101324.99	101324.999	101324.99	101325	0.000550730416	0	0	0	91387.4	0	0	3
24	6	0	0.38473504	101324.972	101324.998	101324.972	101325	0.00170496138	0	0	0	93001.5	0	0	3
25	6	0	0.400765667	101324.939	101324.996	101324.939	101325	0.0040581659	0	0	0	94631.7	0	0	3
26	6	0	0.416796293	101324.857	101324.991	101324.857	101325	0.00940111441	0	0	0	96077	0	0	3
27	7	0	0.43282692	101324.739	101324.981	101324.739	101325	0.0187295007	0	0	0	97554.1	0	0	3
28	7	0	0.448857547	101324.607	101324.968	101324.607	101325	0.0320802345	0	0	0	99185.1	0	0	3
29	7	0	0.464888173	101324.498	101324.952	101324.498	101325	0.0482690694	0	0	0	100745	0	0	3
30	7	0	0.4809188	101324.404	101324.933	101324.404	101325	0.0665345381	0	0	0	102388	0	0	3
31	8	0	0.496949427	101324.275	101324.912	101324.275	101325	0.0877606738	0	0	0	103451	0	0	3
32	8	0	0.512980053	101324.168	101324.889	101324.168	101325	0.111012826	0	0	0	104764	0	0	3
33	8	0	0.52901068	101324.057	101324.86	101324.057	101325	0.140472124	0	0	0	105845	0	0	3
34	8	0	0.545041307	101323.913	101324.826	101323.913	101325	0.174448532	0	0	0	107155	0	0	3
35	9	0	0.561071933	101323.722	101324.786	101323.722	101325	0.214377347	0	0	0	108216	0	0	3
36	9	0	0.57710256	101323.355	101324.734	101323.355	101325	0.265793379	0	0	0	109288	0	0	3
37	9	0	0.593133187	101323.12	101324.675	101323.12	101325	0.324550409	0	0	0	110242	0	0	3
38	9	0	0.609163813	101322.945	101324.611	101322.945	101325	0.388771178	0	0	0	111340	0	0	3
39	10	0	0.62519444	101322.786	101324.542	101322.786	101325	0.457963749	0	0	0	114607	0	0	3
40	10	0	0.641225067	101322.569	101324.466	101322.569	101325	0.533939632	0	0	0	113717	0	0	3
41	10	0	0.657255693	101322.357	101324.383	101322.357	101325	0.616519843	0	0	0	115062	0	0	3
42	10	0	0.67328632	101322.187	101324.296	101322.187	101325	0.704427742	0	0	0	118047	0	0	3
43	11	0	0.689316947	101322.053	101324.203	101322.053	101325	0.796517915	0	0	0	123844	0	0	3
44	11	0	0.705347573	101321.989	101324.109	101321.989	101325	0.890615104	0	0	0	129282	0	0	3
45	11	0	0.7213782	101322.027	101324.016	101321.989	101325	0.983533994	0	0	0	131322	0	0	3
46	11	0	0.737408827	101322.089	101323.925	101321.989	101325	1.07451596	0	0	0	123951	0	0	3
47	12	0	0.753439453	101322.163	101323.837	101321.989	101325	1.16316003	0	0	0	122590	0	0	3
48	12	0	0.76947008	101322.256	101323.751	101321.989	101325	1.24890819	0	0	0	122174	0	0	3
49	12	0	0.785500707	101322.302	101323.667	101321.989	101325	1.33321441	0	0	0	123368	0	0	3
50	12	0	0.801531333	101322.353	101323.584	101321.989	101325	1.41593159	0	0	0	126549	0	0	3
51	13	0	0.81756196	101322.416	101323.503	101321.989	101325	1.49669628	0	0	0	132284	0	0	3
52	13	0	0.833592587	101322.445	101323.423	101321.989	101325	1.57651369	0	0	0	126761	0	0	3
53	13	0	0.849623213	101322.542	101323.347	101321.989	101324.998	1.65321971	0	0	0	127961	0	0	3
54	13	0	0.86565384	101322.565	101323.271	101321.989	101324.99	1.72881014	0	0	0	129077	0	0	3
55	14	0	0.881684467	101322.63	101323.197	101321.989	101324.972	1.8014116	0	0	0	130997	0	0	3
56	14	0	0.897715093	101322.637	101323.124	101321.989	101324.939	1.8720256	0	0	0	136795	0	0	3
57	14	0	0.91374572	101322.689	101323.054	101321.989	101324.857	1.93700015	0	0	0	136250	0	0	3
58	14	0	0.929776347	101322.692	101322.986	101321.989	101324.739	1.99532758	0	0	0	133837	0	0	3
