Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	11.012107	11.012107	11.012107	11.012107	0	0	0	0	215.145	0	0	3
2	1	0	0.0320612533	11.012107	11.012107	11.012107	11.012107	0	0	0	0	191.479	0	0	3
3	1	0	0.04809188	11.012107	11.012107	11.012107	11.012107	0	0	0	0	186.19	0	0	3
4	2	0	0.0641225067	11.012107	11.012107	11.012107	11.012107	0	0	0	0	188.612	0	0	3
5	2	0	0.0801531333	11.012107	11.012107	11.012107	11.012107	0	0	0	0	194.786	0	0	3
6	2	0	0.09618376	11.012107	11.012107	11.012107	11.012107	0	0	0	0	202.764	0	0	3
7	2	0	0.112214387	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	207.683	0	0	3
8	2	0	0.128245013	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	210.484	0	0	3
9	3	0	0.14427564	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	212.453	0	0	3
10	3	0	0.160306267	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	213.979	0	0	3
11	3	0	0.176336893	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	216.957	0	0	3
12	3	0	0.19236752	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	218.818	0	0	3
13	4	0	0.208398147	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	220.276	0	0	3
14	4	0	0.224428773	11.012107	11.012107	11.012107	11.012107	1.77635684e-15	0	0	0	221.557	0	0	3
15	4	0	0.2404594	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	222.912	0	0	3
16	4	0	0.256490027	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	225.216	0	0	3
17	4	0	0.272520653	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	226.646	0	0	3
18	5	0	0.28855128	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	227.744	0	0	3
19	5	0	0.304581907	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	228.716	0	0	3
20	5	0	0.320612533	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	229.856	0	0	3
21	5	0	0.33664316	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	231.705	0	0	3
22	6	0	0.352673787	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	232.856	0	0	3
23	6	0	0.368704413	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	233.816	0	0	3
24	6	0	0.38473504	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	234.941	0	0	3
25	6	0	0.400765667	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	236.024	0	0	3
26	6	0	0.416796293	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	237.69	0	0	3
27	7	0	0.43282692	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	238.645	0	0	3
28	7	0	0.448857547	11.012107	11.012107	11.012107	11.012107	5.32907052e-15	0	0	0	239.864	0	0	3
29	7	0	0.464888173	11.012107	11.012107	11.012107	11.012107	5.32907052e-15	0	0	0	240.852	0	0	3
30	7	0	0.4809188	11.012107	11.012107	11.012107	11.012107	5.32907052e-15	0	0	0	241.802	0	0	3
31	8	0	0.496949427	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	242.8	0	0	3
32	8	0	0.512980053	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	243.514	0	0	3
33	8	0	0.52901068	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	244.142	0	0	3
34	8	0	0.545041307	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	244.876	0	0	3
35	9	0	0.561071933	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	245.601	0	0	3
36	9	0	0.57710256	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	246.645	0	0	3
37	9	0	0.593133187	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	247.131	0	0	3
38	9	0	0.609163813	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	247.899	0	0	3
39	10	0	0.62519444	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	248.526	0	0	3
40	10	0	0.641225067	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	249.167	0	0	3
41	10	0	0.657255693	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	249.974	0	0	3
42	10	0	0.67328632	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	250.692	0	0	3
43	11	0	0.689316947	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	250.941	0	0	3
44	11	0	0.705347573	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	252.073	0	0	3
45	11	0	0.7213782	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	252.346	0	0	3
46	11	0	0.737408827	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	252.595	0	0	3
47	12	0	0.753439453	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	252.544	0	0	3
48	12	0	0.76947008	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	253.357	0	0	3
49	12	0	0.785500707	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	254.267	0	0	3
50	12	0	0.801531333	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	254.59	0	0	3
51	13	0	0.81756196	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	255.659	0	0	3
52	13	0	0.833592587	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	256.689	0	0	3
53	13	0	0.849623213	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	257.089	0	0	3
54	13	0	0.86565384	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	257.956	0	0	3
55	14	0	0.881684467	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	259.095	0	0	3
56	14	0	0.897715093	11.012107	11.012107	11.012107	11.012107	7.10542736e-15	0	0	0	259.6	0	0	3
57	14	0	0.91374572	11.012107	11.012107	11.012107	11.012107	3.55271368e-15	0	0	0	260.399	0	0	3
