Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	2.33974529e-06	2.33974529e-06	2.33974529e-06	2.33974529e-06	0	0	0	0	0	0	0	3
2	1	0	0.0320612533	6.14021595e-06	4.23998062e-06	2.33974529e-06	6.14021595e-06	1.90023533e-06	0	0	0	0	0	0	3
3	1	0	0.04809188	3.86969042e-05	1.57256218e-05	2.33974529e-06	3.86969042e-05	1.33858765e-05	0	0	0	0	0	0	3
4	2	0	0.0641225067	2.15243054e-05	1.71752927e-05	2.33974529e-06	3.86969042e-05	1.48355474e-05	0	0	0	0	0	0	3
5	2	0	0.0801531333	1.77384712e-05	1.72879284e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
6	2	0	0.09618376	1.04961776e-05	1.61559699e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
7	2	0	0.112214387	1.14327232e-05	1.54812204e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
8	2	0	0.128245013	1.29776367e-05	1.51682724e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
9	3	0	0.14427564	1.58246358e-05	1.52412017e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
10	3	0	0.160306267	1.82612231e-05	1.55432038e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
11	3	0	0.176336893	9.66808311e-06	1.5009102e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
12	3	0	0.19236752	9.66070673e-06	1.45634024e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
13	4	0	0.208398147	1.10257828e-05	1.42912778e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
14	4	0	0.224428773	1.23290073e-05	1.41511156e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
15	4	0	0.2404594	1.35959956e-05	1.41141076e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
16	4	0	0.256490027	6.96062637e-06	1.3667015e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
17	4	0	0.272520653	6.88327278e-06	1.32679714e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
18	5	0	0.28855128	7.64048966e-06	1.29553335e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
19	5	0	0.304581907	8.60331831e-06	1.27262801e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
20	5	0	0.320612533	9.39249865e-06	1.2559591e-05	2.33974529e-06	3.86969042e-05	1.49481831e-05	0	0	0	0	0	0	3
