Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.01563981	101541.991	101541.991	101541.991	101541.991	0	0	0	0	10132.9	0	0	3
2	2	0	0.0312796201	101724.599	101633.295	101541.991	101724.599	91.3041876	0	0	0	37763	0	0	3
3	3	0	0.0469194301	101799.283	101688.624	101541.991	101799.283	146.633417	0	0	0	36771.8	0	0	3
4	3	0	0.0625592401	101797.629	101715.875	101541.991	101799.283	173.884662	0	0	0	33389	0	0	3
5	4	0	0.0781990502	101801.702	101733.041	101541.991	101801.702	191.049899	0	0	0	33071.7	0	0	3
6	4	0	0.0938388602	101797.552	101743.793	101541.991	101801.702	201.801836	0	0	0	32452.8	0	0	3
7	4	0	0.10947867	101812.965	101753.674	101541.991	101812.965	211.683617	0	0	0	31374.3	0	0	3
8	5	0	0.12511848	101818.709	101761.804	101541.991	101818.709	219.812965	0	0	0	30568.3	0	0	3
9	5	0	0.14075829	101846.663	101771.232	101541.991	101846.663	229.241797	0	0	0	30623.8	0	0	3
10	6	0	0.1563981	101845.224	101778.632	101541.991	101846.663	236.640907	0	0	0	30679.9	0	0	3
11	6	0	0.17203791	101854.043	101785.487	101541.991	101854.043	243.496509	0	0	0	30808.2	0	0	3
12	7	0	0.18767772	101844.368	101790.394	101541.991	101854.043	248.403247	0	0	0	30946.2	0	0	3
13	7	0	0.20331753	101858.359	101795.622	101541.991	101858.359	253.631325	0	0	0	31111.3	0	0	3
14	8	0	0.218957341	101853.253	101799.739	101541.991	101858.359	257.747848	0	0	0	31435.8	0	0	3
15	8	0	0.234597151	101871.149	101804.499	101541.991	101871.149	262.508567	0	0	0	31756.4	0	0	3
16	9	0	0.250236961	101859.269	101807.922	101541.991	101871.149	265.931681	0	0	0	32072	0	0	3
17	9	0	0.265876771	101872.664	101811.731	101541.991	101872.664	269.740008	0	0	0	32479.2	0	0	3
18	9	0	0.281516581	101865.192	101814.701	101541.991	101872.664	272.710082	0	0	0	32907.5	0	0	3
19	10	0	0.297156391	101884.569	101818.378	101541.991	101884.569	276.387368	0	0	0	33335.6	0	0	3
20	10	0	0.312796201	101875.459	101821.232	101541.991	101884.569	279.241425	0	0	0	33591.9	0	0	3
21	11	0	0.328436011	101889.499	101824.483	101541.991	101889.499	282.492228	0	0	0	33892.9	0	0	3
22	11	0	0.344075821	101882.855	101827.136	101541.991	101889.499	285.145487	0	0	0	34164.9	0	0	3
23	12	0	0.359715631	101891.298	101829.926	101541.991	101891.298	287.935114	0	0	0	34424.3	0	0	3
24	12	0	0.375355441	101891.562	101832.494	101541.991	101891.562	290.503296	0	0	0	34687.2	0	0	3
25	13	0	0.390995251	101898.621	101835.139	101541.991	101898.621	293.148366	0	0	0	34874.8	0	0	3
26	13	0	0.406635061	101898.631	101837.581	101541.991	101898.631	295.590352	0	0	0	35033.3	0	0	3
27	13	0	0.422274871	101903.795	101840.033	101541.991	101903.795	298.042706	0	0	0	35310.4	0	0	3
28	14	0	0.437914681	101903.937	101842.316	101541.991	101903.937	300.324976	0	0	0	35500.1	0	0	3
29	14	0	0.453554491	101910.847	101844.679	101541.991	101910.847	302.688132	0	0	0	35729.3	0	0	3
30	15	0	0.469194301	101911.86	101846.918	101541.991	101911.86	304.927499	0	0	0	35944.4	0	0	3
31	15	0	0.484834111	101917.097	101849.182	101541.991	101917.097	307.191318	0	0	0	36055.9	0	0	3
32	15	0	0.500473921	101916.868	101851.297	101541.991	101917.097	309.306514	0	0	0	36289.2	0	0	3
33	16	0	0.516113731	101920.959	101863.14	101724.599	101920.959	196.360064	0	0	0	36326.6	0	0	3
34	16	0	0.531753541	101922.533	101869.325	101797.552	101922.533	124.980656	0	0	0	36446	0	0	3
35	17	0	0.547393351	101927.863	101873.344	101797.552	101927.863	130.310959	0	0	0	36673.1	0	0	3
36	17	0	0.563033161	101930.144	101877.485	101797.552	101930.144	132.592241	0	0	0	36783.1	0	0	3
37	18	0	0.578672971	101934.671	101881.64	101797.552	101934.671	137.11847	0	0	0	36997.6	0	0	3
38	18	0	0.594312781	101938.187	101886.035	101812.965	101938.187	125.222232	0	0	0	37024.6	0	0	3
39	18	0	0.609952591	101942.734	101890.09	101818.709	101942.734	124.025062	0	0	0	37135.2	0	0	3
40	19	0	0.625592401	101945.652	101894.057	101844.368	101945.652	101.284073	0	0	0	37405.1	0	0	3
41	19	0	0.641232212	101948.276	101897.232	101844.368	101948.276	103.907975	0	0	0	37449.5	0	0	3
42	20	0	0.656872022	101950.422	101900.52	101844.368	101950.422	106.054011	0	0	0	37718.8	0	0	3
43	20	0	0.672511832	101952.372	101903.593	101844.368	101952.372	108.0041	0	0	0	37702	0	0	3
44	21	0	0.688151642	101954.582	101907.037	101853.253	101954.582	101.328409	0	0	0	37940.2	0	0	3
45	21	0	0.703791452	101956.697	101910.11	101853.253	101956.697	103.443842	0	0	0	38100.7	0	0	3
46	21	0	0.719431262	101958.511	101913.399	101859.269	101958.511	99.241646	0	0	0	38266	0	0	3
47	22	0	0.735071072	101960.632	101916.196	101859.269	101960.632	101.36295	0	0	0	38353.3	0	0	3
48	22	0	0.750710882	101962.354	101919.417	101865.192	101962.354	97.1615197	0	0	0	38341.5	0	0	3
