Iteration	CPUTime	PhysTime	Travels
1	2	0	0.01563981
2	2	0	0.0312796201
3	3	0	0.0469194301
4	3	0	0.0625592401
5	4	0	0.0781990502
6	4	0	0.0938388602
7	4	0	0.10947867
8	5	0	0.12511848
9	5	0	0.14075829
10	6	0	0.1563981
11	6	0	0.17203791
12	7	0	0.18767772
13	7	0	0.20331753
14	8	0	0.218957341
15	8	0	0.234597151
16	9	0	0.250236961
17	9	0	0.265876771
18	9	0	0.281516581
19	10	0	0.297156391
20	10	0	0.312796201
21	11	0	0.328436011
22	11	0	0.344075821
23	12	0	0.359715631
24	12	0	0.375355441
25	13	0	0.390995251
26	13	0	0.406635061
27	13	0	0.422274871
28	14	0	0.437914681
29	14	0	0.453554491
30	15	0	0.469194301
31	15	0	0.484834111
32	15	0	0.500473921
33	16	0	0.516113731
34	16	0	0.531753541
35	17	0	0.547393351
36	17	0	0.563033161
37	18	0	0.578672971
38	18	0	0.594312781
39	18	0	0.609952591
40	19	0	0.625592401
41	19	0	0.641232212
42	20	0	0.656872022
43	20	0	0.672511832
44	21	0	0.688151642
45	21	0	0.703791452
46	21	0	0.719431262
47	22	0	0.735071072
48	22	0	0.750710882
49	23	0	0.766350692
50	23	0	0.781990502
51	23	0	0.797630312
52	24	0	0.813270122
53	24	0	0.828909932
54	25	0	0.844549742
55	25	0	0.860189552
56	26	0	0.875829362
57	26	0	0.891469172
58	26	0	0.907108982
59	27	0	0.922748792
60	27	0	0.938388602
61	28	0	0.954028412
62	28	0	0.969668222
63	28	0	0.985308032
64	29	0	1.00094784
