Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	0.683924921	0.683924921	0.683924921	0.683924921	0	0	0	0	204.204	0	0	3
2	3	0	0.0234390388	0.68262105	0.683272986	0.68262105	0.683924921	0.000651935565	0	0	0	173.987	0	0	3
3	3	0	0.0351585583	0.712141272	0.692895748	0.68262105	0.712141272	0.00962276202	0	0	0	161.301	0	0	3
4	4	0	0.0468780777	0.742806685	0.705373482	0.68262105	0.742806685	0.0221004964	0	0	0	170.152	0	0	3
5	4	0	0.0585975971	0.778064014	0.719911588	0.68262105	0.778064014	0.0366386028	0	0	0	176.976	0	0	3
6	4	0	0.0703171165	0.826857842	0.737735964	0.68262105	0.826857842	0.0544629784	0	0	0	186.434	0	0	3
7	5	0	0.0820366359	0.871717315	0.756876157	0.68262105	0.871717315	0.0736031714	0	0	0	192.466	0	0	3
8	5	0	0.0937561553	0.916084888	0.776777248	0.68262105	0.916084888	0.0935042628	0	0	0	197.261	0	0	3
9	6	0	0.105475675	0.959363343	0.797064592	0.68262105	0.959363343	0.113791607	0	0	0	201.176	0	0	3
10	6	0	0.117195194	1.00070792	0.817428925	0.68262105	1.00070792	0.134155939	0	0	0	204.442	0	0	3
11	6	0	0.128914714	1.05773443	0.83927488	0.68262105	1.05773443	0.156001894	0	0	0	208.644	0	0	3
12	7	0	0.140634233	1.10862591	0.861720799	0.68262105	1.10862591	0.178447814	0	0	0	211.395	0	0	3
13	7	0	0.152353752	1.15580968	0.884343021	0.68262105	1.15580968	0.201070035	0	0	0	213.77	0	0	3
14	8	0	0.164073272	1.2010712	0.906966462	0.68262105	1.2010712	0.223693476	0	0	0	215.908	0	0	3
15	8	0	0.175792791	1.24468366	0.929480942	0.68262105	1.24468366	0.246207956	0	0	0	217.882	0	0	3
