Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	-0.00397431767	-0.00397431767	-0.00397431767	-0.00397431767	0	0	0	0	0	0	0	3
2	3	0	0.0234390388	-0.00399122646	-0.00398277207	-0.00399122646	-0.00397431767	8.45439427e-06	0	0	0	0	0	0	3
3	3	0	0.0351585583	-0.00401370956	-0.00399308456	-0.00401370956	-0.00397431767	1.87668926e-05	0	0	0	0	0	0	3
4	4	0	0.0468780777	-0.00408633674	-0.00401639761	-0.00408633674	-0.00397431767	4.20799374e-05	0	0	0	0	0	0	3
5	4	0	0.0585975971	-0.00417347185	-0.00404781246	-0.00417347185	-0.00397431767	7.34947846e-05	0	0	0	0	0	0	3
6	4	0	0.0703171165	-0.00427230236	-0.00408522744	-0.00427230236	-0.00397431767	0.000110909769	0	0	0	0	0	0	3
7	5	0	0.0820366359	-0.00436009564	-0.00412449433	-0.00436009564	-0.00397431767	0.000150176655	0	0	0	0	0	0	3
8	5	0	0.0937561553	-0.00444056066	-0.00416400262	-0.00444056066	-0.00397431767	0.000189684946	0	0	0	0	0	0	3
9	6	0	0.105475675	-0.0045166148	-0.00420318175	-0.0045166148	-0.00397431767	0.000228864077	0	0	0	0	0	0	3
10	6	0	0.117195194	-0.00459112481	-0.00424197605	-0.00459112481	-0.00397431767	0.000267658383	0	0	0	0	0	0	3
11	6	0	0.128914714	-0.00467326247	-0.00428118391	-0.00467326247	-0.00397431767	0.000306866239	0	0	0	0	0	0	3
12	7	0	0.140634233	-0.00474609021	-0.0043199261	-0.00474609021	-0.00397431767	0.000345608431	0	0	0	0	0	0	3
13	7	0	0.152353752	-0.00481533889	-0.00435803478	-0.00481533889	-0.00397431767	0.000383717107	0	0	0	0	0	0	3
14	8	0	0.164073272	-0.00488242826	-0.00439549146	-0.00488242826	-0.00397431767	0.000421173785	0	0	0	0	0	0	3
15	8	0	0.175792791	-0.00494877356	-0.00443237693	-0.00494877356	-0.00397431767	0.000458059258	0	0	0	0	0	0	3
16	9	0	0.187512311	-0.00501838668	-0.00446900254	-0.00501838668	-0.00397431767	0.000494684867	0	0	0	0	0	0	3
17	9	0	0.19923183	-0.00508109289	-0.00450500785	-0.00508109289	-0.00397431767	0.000530690182	0	0	0	0	0	0	3
18	9	0	0.21095135	-0.00514083278	-0.00454033146	-0.00514083278	-0.00397431767	0.000566013789	0	0	0	0	0	0	3
19	10	0	0.222670869	-0.0051987798	-0.00457498664	-0.0051987798	-0.00397431767	0.000600668965	0	0	0	0	0	0	3
20	10	0	0.234390388	-0.00525548196	-0.0046090114	-0.00525548196	-0.00397431767	0.000634693731	0	0	0	0	0	0	3
21	11	0	0.246109908	-0.00531367114	-0.00464256663	-0.00531367114	-0.00397431767	0.000668248957	0	0	0	0	0	0	3
22	11	0	0.257829427	-0.0053672147	-0.00467550518	-0.0053672147	-0.00397431767	0.000701187506	0	0	0	0	0	0	3
23	12	0	0.269548947	-0.00541937688	-0.00470784743	-0.00541937688	-0.00397431767	0.000733529754	0	0	0	0	0	0	3
24	12	0	0.281268466	-0.00546996478	-0.00473960232	-0.00546996478	-0.00397431767	0.000765284643	0	0	0	0	0	0	3
25	12	0	0.292987985	-0.00552032125	-0.00477083107	-0.00552032125	-0.00397431767	0.000796513401	0	0	0	0	0	0	3
26	13	0	0.304707505	-0.00557186721	-0.00480164015	-0.00557186721	-0.00397431767	0.000827322483	0	0	0	0	0	0	3
27	13	0	0.316427024	-0.00562020992	-0.00483195755	-0.00562020992	-0.00397431767	0.000857639882	0	0	0	0	0	0	3
28	14	0	0.328146544	-0.00566717324	-0.00486178668	-0.00566717324	-0.00397431767	0.000887469013	0	0	0	0	0	0	3
29	14	0	0.339866063	-0.00571332957	-0.00489115023	-0.00571332957	-0.00397431767	0.000916832561	0	0	0	0	0	0	3
30	15	0	0.351585583	-0.00575877833	-0.00492007117	-0.00575877833	-0.00397431767	0.000945753497	0	0	0	0	0	0	3
31	15	0	0.363305102	-0.00580501976	-0.0049486179	-0.00580501976	-0.00397431767	0.000974300226	0	0	0	0	0	0	3
32	15	0	0.375024621	-0.00584903337	-0.00497675588	-0.00584903337	-0.00397431767	0.00100243821	0	0	0	0	0	0	3
33	16	0	0.386744141	-0.00589194866	-0.005004489	-0.00589194866	-0.00397431767	0.00103017132	0	0	0	0	0	0	3
34	16	0	0.39846366	-0.00593417549	-0.00503183272	-0.00593417549	-0.00397431767	0.00105751504	0	0	0	0	0	0	3
35	17	0	0.41018318	-0.00597572459	-0.00505880106	-0.00597572459	-0.00397431767	0.00108448338	0	0	0	0	0	0	3
36	17	0	0.421902699	-0.00601752465	-0.00508543227	-0.00601752465	-0.00397431767	0.00111111459	0	0	0	0	0	0	3
37	18	0	0.433622218	-0.00605743817	-0.0051117027	-0.00605743817	-0.00397431767	0.00113738502	0	0	0	0	0	0	3
38	18	0	0.445341738	-0.00609647814	-0.00513761784	-0.00609647814	-0.00397431767	0.00116330017	0	0	0	0	0	0	3
39	18	0	0.457061257	-0.0061347862	-0.00516318626	-0.0061347862	-0.00397431767	0.00118886859	0	0	0	0	0	0	3
40	19	0	0.468780777	-0.00617220111	-0.00518841163	-0.00617220111	-0.00397431767	0.00121409396	0	0	0	0	0	0	3
41	19	0	0.480500296	-0.00620979452	-0.00521332341	-0.00620979452	-0.00397431767	0.00123900574	0	0	0	0	0	0	3
42	20	0	0.492219816	-0.00624565451	-0.00523790272	-0.00624565451	-0.00397431767	0.00126358505	0	0	0	0	0	0	3
43	20	0	0.503939335	-0.00628084278	-0.00526215714	-0.00628084278	-0.00397431767	0.00128783947	0	0	0	0	0	0	3
44	21	0	0.515658854	-0.00631519656	-0.00531659618	-0.00631519656	-0.00399122646	0.00133382412	0	0	0	0	0	0	3
45	21	0	0.527378374	-0.00634887197	-0.00537142515	-0.00634887197	-0.00401370956	0.00137834059	0	0	0	0	0	0	3
46	22	0	0.539097893	-0.00638194278	-0.00542650034	-0.00638194278	-0.00408633674	0.00141010273	0	0	0	0	0	0	3
47	22	0	0.550817413	-0.0064144638	-0.00548064283	-0.0064144638	-0.00417347185	0.00143283037	0	0	0	0	0	0	3
48	23	0	0.562536932	-0.00644650792	-0.00553350413	-0.00644650792	-0.00427230236	0.00144827669	0	0	0	0	0	0	3
49	23	0	0.574256451	-0.00647809221	-0.00558480157	-0.00647809221	-0.00436009564	0.00146030725	0	0	0	0	0	0	3
50	23	0	0.585975971	-0.00650899488	-0.00563477597	-0.00650899488	-0.00444056066	0.00147077336	0	0	0	0	0	0	3
51	24	0	0.59769549	-0.00653938361	-0.00568358581	-0.00653938361	-0.0045166148	0.00148040406	0	0	0	0	0	0	3
52	24	0	0.60941501	-0.00656933232	-0.00573132343	-0.00656933232	-0.00459112481	0.00148934737	0	0	0	0	0	0	3
53	25	0	0.621134529	-0.00659883618	-0.00577801439	-0.00659883618	-0.00467326247	0.00149683048	0	0	0	0	0	0	3
54	25	0	0.632854049	-0.00662796966	-0.0058234727	-0.00662796966	-0.00474609021	0.00150354659	0	0	0	0	0	0	3
55	26	0	0.644573568	-0.00665670937	-0.0058679057	-0.00665670937	-0.00481533889	0.00150987092	0	0	0	0	0	0	3
56	26	0	0.656293087	-0.00668512419	-0.00591138908	-0.00668512419	-0.00488242826	0.00151589762	0	0	0	0	0	0	3
57	27	0	0.668012607	-0.00671319261	-0.00595396499	-0.00671319261	-0.00494877356	0.00152158806	0	0	0	0	0	0	3
58	27	0	0.679732126	-0.00674098846	-0.00599564441	-0.00674098846	-0.00501838668	0.00152664187	0	0	0	0	0	0	3
59	27	0	0.691451646	-0.00676845654	-0.00603634371	-0.00676845654	-0.00508109289	0.00153133585	0	0	0	0	0	0	3
60	28	0	0.703171165	-0.00679569411	-0.00607621816	-0.00679569411	-0.00514083278	0.00153588669	0	0	0	0	0	0	3
61	28	0	0.714890684	-0.00682263101	-0.00611532974	-0.00682263101	-0.0051987798	0.00154034311	0	0	0	0	0	0	3
62	29	0	0.726610204	-0.0068493791	-0.00615371577	-0.0068493791	-0.00525548196	0.00154470437	0	0	0	0	0	0	3
63	29	0	0.738329723	-0.0068758351	-0.0061913984	-0.0068758351	-0.00531367114	0.00154883177	0	0	0	0	0	0	3
64	30	0	0.750049243	-0.00690211524	-0.00622833896	-0.00690211524	-0.0053672147	0.00153490054	0	0	0	0	0	0	3
65	30	0	0.761768762	-0.00692813107	-0.00626463934	-0.00692813107	-0.00541937688	0.00150875419	0	0	0	0	0	0	3
66	31	0	0.773488282	-0.00695398401	-0.00630032788	-0.00695398401	-0.00546996478	0.00148401922	0	0	0	0	0	0	3
67	31	0	0.785207801	-0.00697955862	-0.00633543472	-0.00697955862	-0.00552032125	0.00145923737	0	0	0	0	0	0	3
68	31	0	0.79692732	-0.00700449948	-0.00636995049	-0.00700449948	-0.00557186721	0.00143263227	0	0	0	0	0	0	3
69	32	0	0.80864684	-0.00702958422	-0.00640385088	-0.00702958422	-0.00562020992	0.0014093743	0	0	0	0	0	0	3
70	32	0	0.820366359	-0.00705393239	-0.00643719327	-0.00705393239	-0.00566717324	0.00138675915	0	0	0	0	0	0	3
71	33	0	0.832085879	-0.00707848266	-0.00647001442	-0.00707848266	-0.00571332957	0.00136515309	0	0	0	0	0	0	3
72	33	0	0.843805398	-0.00710231341	-0.00650231637	-0.00710231341	-0.00575877833	0.00134353508	0	0	0	0	0	0	3
73	34	0	0.855524917	-0.00712637886	-0.00653412103	-0.00712637886	-0.00580501976	0.0013213591	0	0	0	0	0	0	3
74	34	0	0.867244437	-0.00715026937	-0.0065654059	-0.00715026937	-0.00584903337	0.001301236	0	0	0	0	0	0	3
75	35	0	0.878963956	-0.00717399012	-0.00659621885	-0.00717399012	-0.00589194866	0.00128204145	0	0	0	0	0	0	3
76	35	0	0.890683476	-0.00719764733	-0.00662658394	-0.00719764733	-0.00593417549	0.00126347184	0	0	0	0	0	0	3
77	35	0	0.902402995	-0.00722111482	-0.00665651276	-0.00722111482	-0.00597572459	0.00124539023	0	0	0	0	0	0	3
78	36	0	0.914122515	-0.00724366512	-0.00668599975	-0.00724366512	-0.00601752465	0.00122614048	0	0	0	0	0	0	3
79	36	0	0.925842034	-0.00726717779	-0.00671506145	-0.00726717779	-0.00605743817	0.00120973962	0	0	0	0	0	0	3
80	37	0	0.937561553	-0.00728929506	-0.00674370928	-0.00728929506	-0.00609647814	0.00119281692	0	0	0	0	0	0	3
81	37	0	0.949281073	-0.00731241275	-0.00677198683	-0.00731241275	-0.0061347862	0.00117762655	0	0	0	0	0	0	3
82	38	0	0.961000592	-0.00733413227	-0.0067998786	-0.00733413227	-0.00617220111	0.00116193116	0	0	0	0	0	0	3
83	38	0	0.972720112	-0.0073565577	-0.00682742178	-0.0073565577	-0.00620979452	0.00114676318	0	0	0	0	0	0	3
84	39	0	0.984439631	-0.00737912951	-0.00685461562	-0.00737912951	-0.00624565451	0.00113347499	0	0	0	0	0	0	3
85	39	0	0.99615915	-0.00740090857	-0.00688148199	-0.00740090857	-0.00628084278	0.00112006579	0	0	0	0	0	0	3
86	40	0	1.00787867	-0.00742302092	-0.00690804427	-0.00742302092	-0.00631519656	0.00110782436	0.000102279341	0	9.2	0	0	0	3
