Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	204.203556	204.203556	204.203556	204.203556	0	0	0	0	204.204	0	0	3
2	3	0	0.0234390388	173.987259	189.095407	173.987259	204.203556	15.1081485	0	0	0	173.987	0	0	3
3	3	0	0.0351585583	161.301124	179.830646	161.301124	204.203556	24.3729096	0	0	0	161.301	0	0	3
4	4	0	0.0468780777	170.152035	177.410993	161.301124	204.203556	26.7925624	0	0	0	170.152	0	0	3
5	4	0	0.0585975971	176.975858	177.323966	161.301124	204.203556	26.8795895	0	0	0	176.976	0	0	3
6	4	0	0.0703171165	186.433988	178.842303	161.301124	204.203556	26.8795895	0	0	0	186.434	0	0	3
7	5	0	0.0820366359	192.466157	180.788568	161.301124	204.203556	26.8795895	0	0	0	192.466	0	0	3
8	5	0	0.0937561553	197.261328	182.847663	161.301124	204.203556	26.8795895	0	0	0	197.261	0	0	3
9	6	0	0.105475675	201.176483	184.884198	161.301124	204.203556	26.8795895	0	0	0	201.176	0	0	3
10	6	0	0.117195194	204.441982	186.839977	161.301124	204.441982	26.8795895	0	0	0	204.442	0	0	3
11	6	0	0.128914714	208.643821	188.822144	161.301124	208.643821	26.8795895	0	0	0	208.644	0	0	3
12	7	0	0.140634233	211.394769	190.703196	161.301124	211.394769	26.8795895	0	0	0	211.395	0	0	3
13	7	0	0.152353752	213.769596	192.477535	161.301124	213.769596	26.8795895	0	0	0	213.77	0	0	3
14	8	0	0.164073272	215.908031	194.151142	161.301124	215.908031	26.8795895	0	0	0	215.908	0	0	3
15	8	0	0.175792791	217.881812	195.733186	161.301124	217.881812	26.8795895	0	0	0	217.882	0	0	3
16	9	0	0.187512311	220.56306	197.285054	161.301124	220.56306	26.8795895	0	0	0	220.563	0	0	3
17	9	0	0.19923183	222.443233	198.764946	161.301124	222.443233	26.8795895	0	0	0	222.443	0	0	3
18	9	0	0.21095135	223.923067	200.16262	161.301124	223.923067	26.8795895	0	0	0	223.923	0	0	3
19	10	0	0.222670869	225.250228	201.48302	161.301124	225.250228	26.8795895	0	0	0	225.25	0	0	3
20	10	0	0.234390388	226.656545	202.741696	161.301124	226.656545	26.8795895	0	0	0	226.657	0	0	3
21	11	0	0.246109908	228.206728	203.954317	161.301124	228.206728	26.8795895	0	0	0	228.207	0	0	3
22	11	0	0.257829427	229.402837	205.111068	161.301124	229.402837	27.7871019	0	0	0	229.403	0	0	3
23	12	0	0.269548947	230.231962	206.203281	161.301124	230.231962	28.8793147	0	0	0	230.232	0	0	3
24	12	0	0.281268466	231.357875	207.251389	161.301124	231.357875	29.9274228	0	0	0	231.358	0	0	3
25	12	0	0.292987985	232.1784	208.248469	161.301124	232.1784	30.9245032	0	0	0	232.178	0	0	3
26	13	0	0.304707505	233.498677	209.219631	161.301124	233.498677	31.8956651	0	0	0	233.499	0	0	3
27	13	0	0.316427024	233.905301	210.133915	161.301124	233.905301	32.8099491	0	0	0	233.905	0	0	3
28	14	0	0.328146544	234.748631	211.013012	161.301124	234.748631	33.6890461	0	0	0	234.749	0	0	3
29	14	0	0.339866063	235.263596	211.849239	161.301124	235.263596	34.5252732	0	0	0	235.264	0	0	3
30	15	0	0.351585583	236.24952	212.662582	161.301124	236.24952	35.3386159	0	0	0	236.25	0	0	3
31	15	0	0.363305102	236.907372	213.444672	161.301124	236.907372	36.1207058	0	0	0	236.907	0	0	3
32	15	0	0.375024621	237.773974	214.204963	161.301124	237.773974	36.8809965	0	0	0	237.774	0	0	3
33	16	0	0.386744141	238.033066	214.927026	161.301124	238.033066	37.6030603	0	0	0	238.033	0	0	3
34	16	0	0.39846366	239.140113	215.639176	161.301124	239.140113	38.3152099	0	0	0	239.14	0	0	3
35	17	0	0.41018318	239.522691	216.321562	161.301124	239.522691	38.997596	0	0	0	239.523	0	0	3
36	17	0	0.421902699	240.758734	217.000372	161.301124	240.758734	39.6764064	0	0	0	240.759	0	0	3
37	18	0	0.433622218	240.811862	217.643926	161.301124	240.811862	40.3199601	0	0	0	240.812	0	0	3
38	18	0	0.445341738	242.016819	218.285318	161.301124	242.016819	40.961352	0	0	0	242.017	0	0	3
39	18	0	0.457061257	241.767596	218.887428	161.301124	242.016819	41.5634617	0	0	0	241.768	0	0	3
40	19	0	0.468780777	243.088971	219.492466	161.301124	243.088971	42.1685003	0	0	0	243.089	0	0	3
41	19	0	0.480500296	242.743219	220.059558	161.301124	243.088971	42.7355918	0	0	0	242.743	0	0	3
42	20	0	0.492219816	243.459808	220.616707	161.301124	243.459808	43.2927407	0	0	0	243.46	0	0	3
43	20	0	0.503939335	242.852794	221.133825	161.301124	243.459808	43.809859	0	0	0	242.853	0	0	3
44	21	0	0.515658854	243.654399	222.051286	161.301124	243.654399	44.7273205	0	0	0	243.654	0	0	3
45	21	0	0.527378374	243.243465	223.661896	161.301124	243.654399	46.3379299	0	0	0	243.243	0	0	3
46	22	0	0.539097893	244.409971	225.59466	170.152035	244.409971	48.2706938	0	0	0	244.41	0	0	3
47	22	0	0.550817413	244.409742	227.321583	176.975858	244.409971	49.9976172	0	0	0	244.41	0	0	3
48	23	0	0.562536932	245.987592	228.926507	186.433988	245.987592	50.0842043	0	0	0	245.988	0	0	3
49	23	0	0.574256451	245.538402	230.301029	192.466157	245.987592	49.5124607	0	0	0	245.538	0	0	3
50	23	0	0.585975971	246.60461	231.560062	197.261328	246.60461	48.7123995	0	0	0	246.605	0	0	3
51	24	0	0.59769549	246.609701	232.707699	201.176483	246.609701	45.4332189	0	0	0	246.61	0	0	3
52	24	0	0.60941501	247.802251	233.792019	204.441982	247.802251	43.3602692	0	0	0	247.802	0	0	3
53	25	0	0.621134529	247.972024	234.804346	208.643821	247.972024	39.3282027	0	0	0	247.972	0	0	3
54	25	0	0.632854049	249.08108	235.744747	211.394769	249.08108	37.6863111	0	0	0	249.081	0	0	3
55	26	0	0.644573568	249.232802	236.624701	213.769596	249.232802	35.4632064	0	0	0	249.233	0	0	3
56	26	0	0.656293087	250.259099	237.473294	215.908031	250.259099	34.351068	0	0	0	250.259	0	0	3
57	27	0	0.668012607	250.311067	238.273365	217.881812	250.311067	32.4292549	0	0	0	250.311	0	0	3
58	27	0	0.679732126	251.584137	239.05714	220.56306	251.584137	31.0210771	0	0	0	251.584	0	0	3
59	27	0	0.691451646	251.494923	239.776486	222.443233	251.584137	29.1409048	0	0	0	251.495	0	0	3
60	28	0	0.703171165	252.851294	240.48365	223.923067	252.851294	28.9282276	0	0	0	252.851	0	0	3
61	28	0	0.714890684	252.288854	241.143319	225.250228	252.851294	27.6010658	0	0	0	252.289	0	0	3
62	29	0	0.726610204	253.743405	241.805951	226.656545	253.743405	27.0868599	0	0	0	253.743	0	0	3
63	29	0	0.738329723	253.411051	242.428149	228.206728	253.743405	25.5366772	0	0	0	253.411	0	0	3
64	30	0	0.750049243	254.688759	243.04401	229.402837	254.688759	25.2859225	0	0	0	254.689	0	0	3
65	30	0	0.761768762	254.338877	243.623918	230.231962	254.688759	24.4567972	0	0	0	254.339	0	0	3
66	31	0	0.773488282	255.802164	244.218574	231.357875	255.802164	24.4442885	0	0	0	255.802	0	0	3
67	31	0	0.785207801	254.803307	244.763817	232.1784	255.802164	23.6237635	0	0	0	254.803	0	0	3
68	31	0	0.79692732	256.415269	245.327465	233.498677	256.415269	22.9165919	0	0	0	256.415	0	0	3
69	32	0	0.80864684	255.453597	245.838044	233.905301	256.415269	22.5099686	0	0	0	255.454	0	0	3
70	32	0	0.820366359	257.225714	246.38038	234.748631	257.225714	22.4770825	0	0	0	257.226	0	0	3
71	33	0	0.832085879	256.408692	246.884102	235.263596	257.225714	21.9621176	0	0	0	256.409	0	0	3
72	33	0	0.843805398	258.005813	247.412991	236.24952	258.005813	21.7562931	0	0	0	258.006	0	0	3
73	34	0	0.855524917	257.800685	247.914181	236.907372	258.005813	21.0984412	0	0	0	257.801	0	0	3
74	34	0	0.867244437	259.18773	248.432328	237.773974	259.18773	21.4137557	0	0	0	259.188	0	0	3
75	35	0	0.878963956	258.991429	248.925758	238.033066	259.18773	21.1546634	0	0	0	258.991	0	0	3
76	35	0	0.890683476	260.08389	249.438568	239.140113	260.08389	20.9437771	0	0	0	260.084	0	0	3
77	35	0	0.902402995	259.138991	249.903658	239.522691	260.08389	20.5611994	0	0	0	259.139	0	0	3
78	36	0	0.914122515	260.637639	250.394703	240.758734	260.637639	19.8789053	0	0	0	260.638	0	0	3
79	36	0	0.925842034	259.958067	250.841199	240.811862	260.637639	19.8257775	0	0	0	259.958	0	0	3
80	37	0	0.937561553	261.365842	251.319199	241.767596	261.365842	19.5982466	0	0	0	261.366	0	0	3
81	37	0	0.949281073	260.647033	251.752459	241.767596	261.365842	19.5982466	0	0	0	260.647	0	0	3
82	38	0	0.961000592	262.144705	252.226346	242.743219	262.144705	19.4014851	0	0	0	262.145	0	0	3
83	38	0	0.972720112	262.039409	252.667054	242.743219	262.144705	19.4014851	0	0	0	262.039	0	0	3
84	39	0	0.984439631	263.296782	253.145043	242.852794	263.296782	20.4439882	0	0	0	263.297	0	0	3
85	39	0	0.99615915	263.071197	253.601122	242.852794	263.296782	20.4439882	0	0	0	263.071	0	0	3
86	40	0	1.00787867	264.081536	254.094814	243.243465	264.081536	20.8380711	3.08341238	0	0	264.082	0	0	3
