Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	111457.5	111457.5	111457.5	111457.5	0	0	0	0	10317.6	0	0	3
2	3	0	0.0234390388	122603.25	117030.375	111457.5	122603.25	5572.875	0	0	0	40707.2	0	0	3
3	3	0	0.0351585583	134863.575	122974.775	111457.5	134863.575	11517.275	0	0	0	49383.5	0	0	3
4	4	0	0.0468780777	148349.933	129318.564	111457.5	148349.933	17861.0644	0	0	0	55444.5	0	0	3
5	4	0	0.0585975971	154179.29	134290.709	111457.5	154179.29	22833.2094	0	0	0	62803.6	0	0	3
6	4	0	0.0703171165	153528.85	137497.066	111457.5	154179.29	26039.5662	0	0	0	62591.6	0	0	3
7	5	0	0.0820366359	153107.475	139727.125	111457.5	154179.29	28269.6247	0	0	0	61770.6	0	0	3
8	5	0	0.0937561553	153325.356	141426.904	111457.5	154179.29	29969.4036	0	0	0	60873.6	0	0	3
9	6	0	0.105475675	154619.121	142892.705	111457.5	154619.121	31435.2055	0	0	0	61046.4	0	0	3
10	6	0	0.117195194	156020.969	144205.532	111457.5	156020.969	32748.0318	0	0	0	61527.9	0	0	3
11	6	0	0.128914714	156194.405	145295.429	111457.5	156194.405	33837.9294	0	0	0	61128.5	0	0	3
12	7	0	0.140634233	156637.207	146240.578	111457.5	156637.207	34783.0775	0	0	0	60582.2	0	0	3
13	7	0	0.152353752	157607.803	147114.979	111457.5	157607.803	35657.4794	0	0	0	59700.7	0	0	3
14	8	0	0.164073272	158607.132	147935.847	111457.5	158607.132	36478.3475	0	0	0	59897	0	0	3
15	8	0	0.175792791	159646.934	148716.587	111457.5	159646.934	37259.0866	0	0	0	60986.9	0	0	3
16	9	0	0.187512311	159782.745	149408.221	111457.5	159782.745	37950.7215	0	0	0	61223.7	0	0	3
17	9	0	0.19923183	160192.325	150042.581	111457.5	160192.325	38585.0805	0	0	0	61756.8	0	0	3
18	9	0	0.21095135	160863.566	150643.746	111457.5	160863.566	39186.2464	0	0	0	62550.1	0	0	3
19	10	0	0.222670869	161705.084	151225.922	111457.5	161705.084	39768.422	0	0	0	63510.1	0	0	3
20	10	0	0.234390388	162450.058	151787.129	111457.5	162450.058	40329.6288	0	0	0	64357	0	0	3
21	11	0	0.246109908	162821.666	152312.583	111457.5	162821.666	40855.083	0	0	0	64808.5	0	0	3
22	11	0	0.257829427	163483.28	152820.342	111457.5	163483.28	41362.8419	0	0	0	65538.4	0	0	3
23	12	0	0.269548947	164196.354	153314.951	111457.5	164196.354	41857.4512	0	0	0	66310.1	0	0	3
24	12	0	0.281268466	165151.251	153808.13	111457.5	165151.251	42350.6303	0	0	0	67273.3	0	0	3
25	12	0	0.292987985	166103.269	154299.936	111457.5	166103.269	42842.4358	0	0	0	68230.1	0	0	3
26	13	0	0.304707505	166605.723	154773.235	111457.5	166605.723	43315.7353	0	0	0	68757.3	0	0	3
27	13	0	0.316427024	167270.277	155236.089	111457.5	167270.277	43778.5887	0	0	0	69442.4	0	0	3
28	14	0	0.328146544	168064.166	155694.234	111457.5	168064.166	44236.7343	0	0	0	70202.3	0	0	3
29	14	0	0.339866063	168918.119	156150.23	111457.5	168918.119	44692.7303	0	0	0	71026.2	0	0	3
30	15	0	0.351585583	169798.257	156605.165	111457.5	169798.257	45147.6646	0	0	0	71860.5	0	0	3
31	15	0	0.363305102	170347.896	157048.478	111457.5	170347.896	45590.9785	0	0	0	72399.1	0	0	3
32	15	0	0.375024621	171002.595	157484.545	111457.5	171002.595	46027.0446	0	0	0	73050.5	0	0	3
33	16	0	0.386744141	171717.363	157915.842	111457.5	171717.363	46458.3421	0	0	0	73726.7	0	0	3
34	16	0	0.39846366	172472.052	158343.966	111457.5	172472.052	46886.466	0	0	0	74488	0	0	3
35	17	0	0.41018318	173233.551	158769.383	111457.5	173233.551	47311.8827	0	0	0	75219.9	0	0	3
36	17	0	0.421902699	173739.01	159185.206	111457.5	173739.01	47727.7057	0	0	0	75756.1	0	0	3
37	18	0	0.433622218	174304.609	159593.838	111457.5	174304.609	48136.3382	0	0	0	76286.8	0	0	3
38	18	0	0.445341738	174926.186	159997.321	111457.5	174926.186	48539.821	0	0	0	76948.9	0	0	3
39	18	0	0.457061257	175481.378	160394.348	111457.5	175481.378	48936.8481	0	0	0	77458.6	0	0	3
40	19	0	0.468780777	176200.387	160789.499	111457.5	176200.387	49331.9991	0	0	0	78231.5	0	0	3
41	19	0	0.480500296	176611.943	161175.412	111457.5	176611.943	49717.9124	0	0	0	78589.7	0	0	3
42	20	0	0.492219816	177079.208	161554.074	111457.5	177079.208	50096.5742	0	0	0	79143.2	0	0	3
43	20	0	0.503939335	177578.669	161926.739	111457.5	177578.669	50469.2391	0	0	0	79546.9	0	0	3
44	21	0	0.515658854	178109.926	163476.796	122603.25	178109.926	46446.4206	0	0	0	80188.4	0	0	3
45	21	0	0.527378374	178654.557	164780.314	134863.575	178654.557	41805.5393	0	0	0	80636.1	0	0	3
46	22	0	0.539097893	179227.166	165812.026	148349.933	179227.166	30877.2335	0	0	0	81335.7	0	0	3
47	22	0	0.550817413	179799.951	166543.422	153107.475	179799.951	26692.4753	0	0	0	81787.3	0	0	3
48	23	0	0.562536932	180399.799	167153.201	153107.475	180399.799	27292.3239	0	0	0	82506.4	0	0	3
49	23	0	0.574256451	180878.567	167789.241	153107.475	180878.567	27771.0913	0	0	0	82818.3	0	0	3
50	23	0	0.585975971	181398.827	168447.179	153325.356	181398.827	27020.2756	0	0	0	83560	0	0	3
51	24	0	0.59769549	181928.395	169112.366	154619.121	181928.395	26219.6606	0	0	0	83827	0	0	3
52	24	0	0.60941501	182473.874	169760.151	156020.969	182473.874	25554.6192	0	0	0	84652.6	0	0	3
53	25	0	0.621134529	183020.293	170388.042	156194.405	183020.293	25092.6129	0	0	0	84960.1	0	0	3
54	25	0	0.632854049	183577.381	171024.856	156637.207	183577.381	24784.2782	0	0	0	85764.3	0	0	3
55	26	0	0.644573568	184129.573	171664.213	157607.803	184129.573	24549.2336	0	0	0	86100.8	0	0	3
56	26	0	0.656293087	184691.932	172294.077	158607.132	184691.932	24358.2291	0	0	0	86886.1	0	0	3
57	27	0	0.668012607	185247.261	172913.614	159646.934	185247.261	24197.0278	0	0	0	87246.6	0	0	3
58	27	0	0.679732126	185811.656	173522.096	159782.745	185811.656	24113.8749	0	0	0	88009.5	0	0	3
59	27	0	0.691451646	186368.187	174140.362	160192.325	186368.187	24097.7819	0	0	0	88386	0	0	3
60	28	0	0.703171165	186937.217	174762.337	160863.566	186937.217	24118.5903	0	0	0	89143.9	0	0	3
61	28	0	0.714890684	187492.098	175381.605	161705.084	187492.098	24155.6828	0	0	0	89514	0	0	3
62	29	0	0.726610204	188059.749	175994.504	162450.058	188059.749	24207.3752	0	0	0	90273.3	0	0	3
63	29	0	0.738329723	188615.905	176603.012	162821.666	188615.905	24290.4291	0	0	0	90635.9	0	0	3
64	30	0	0.750049243	189178.829	177215.969	163483.28	189178.829	24395.6275	0	0	0	91416.9	0	0	3
65	30	0	0.761768762	189722.786	177826.19	164196.354	189722.786	24511.2393	0	0	0	91755.6	0	0	3
66	31	0	0.773488282	190280.352	178432.795	165151.251	190280.352	24624.6648	0	0	0	92549.6	0	0	3
67	31	0	0.785207801	190665.475	179026.149	166103.269	190665.475	24562.2064	0	0	0	92735.8	0	0	3
68	31	0	0.79692732	191243.878	179610.814	166605.723	191243.878	24638.1558	0	0	0	93549.4	0	0	3
69	32	0	0.80864684	191638.945	180192.982	167270.277	191638.945	24368.6681	0	0	0	93735.7	0	0	3
70	32	0	0.820366359	192225.597	180773.339	168064.166	192225.597	24161.4311	0	0	0	94552	0	0	3
71	33	0	0.832085879	192622.74	181344.468	168918.119	192622.74	23704.6211	0	0	0	94739.7	0	0	3
72	33	0	0.843805398	193210.335	181909.404	169798.257	193210.335	23412.0782	0	0	0	95556.3	0	0	3
73	34	0	0.855524917	193770.355	182466.894	170347.896	193770.355	23422.4593	0	0	0	95901.6	0	0	3
74	34	0	0.867244437	194329.228	183024.6	171002.595	194329.228	23326.6329	0	0	0	96682.8	0	0	3
75	35	0	0.878963956	194867.361	183579.594	171717.363	194867.361	23149.9976	0	0	0	97019.1	0	0	3
76	35	0	0.890683476	195415.822	184130.721	172472.052	195415.822	22943.7701	0	0	0	97777.3	0	0	3
77	35	0	0.902402995	195793.717	184673.085	173233.551	195793.717	22560.1663	0	0	0	97962.9	0	0	3
78	36	0	0.914122515	196359.963	185210.909	173739.01	196359.963	22620.9534	0	0	0	98774.9	0	0	3
79	36	0	0.925842034	196744.532	185745.921	174304.609	196744.532	22439.9223	0	0	0	98963.8	0	0	3
