Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	111537.804	111537.804	111537.804	111537.804	0	0	0	0	42774.4	0	0	3
2	3	0	0.0234390388	122691.584	117114.694	111537.804	122691.584	5576.89019	0	0	0	50134.8	0	0	3
3	3	0	0.0351585583	134960.742	123063.377	111537.804	134960.742	11525.5731	0	0	0	60524	0	0	3
4	4	0	0.0468780777	148456.817	129411.737	111537.804	148456.817	17873.933	0	0	0	63703.7	0	0	3
5	4	0	0.0585975971	154290.374	134387.464	111537.804	154290.374	22849.6605	0	0	0	65827.1	0	0	3
6	4	0	0.0703171165	153639.466	137596.131	111537.804	154290.374	26058.3274	0	0	0	66760.7	0	0	3
7	5	0	0.0820366359	153217.787	139827.796	111537.804	154290.374	28289.9926	0	0	0	67060.8	0	0	3
8	5	0	0.0937561553	153435.825	141528.8	111537.804	154290.374	29990.9962	0	0	0	67064.5	0	0	3
9	6	0	0.105475675	154730.522	142995.658	111537.804	154730.522	31457.8542	0	0	0	67441.2	0	0	3
10	6	0	0.117195194	156133.38	144309.43	111537.804	156133.38	32771.6264	0	0	0	68082.4	0	0	3
11	6	0	0.128914714	156306.941	145400.113	111537.804	156306.941	33862.3093	0	0	0	68745.6	0	0	3
12	7	0	0.140634233	156750.062	146345.942	111537.804	156750.062	34808.1383	0	0	0	68899.9	0	0	3
13	7	0	0.152353752	157721.357	147220.974	111537.804	157721.357	35683.1703	0	0	0	68356.2	0	0	3
14	8	0	0.164073272	158721.407	148042.433	111537.804	158721.407	36504.6298	0	0	0	69008.2	0	0	3
15	8	0	0.175792791	159761.958	148823.735	111537.804	159761.958	37285.9314	0	0	0	70657.3	0	0	3
16	9	0	0.187512311	159897.866	149515.868	111537.804	159897.866	37978.0646	0	0	0	71985	0	0	3
17	9	0	0.19923183	160307.742	150150.684	111537.804	160307.742	38612.8807	0	0	0	73409.5	0	0	3
18	9	0	0.21095135	160979.467	150752.283	111537.804	160979.467	39214.4797	0	0	0	74926.2	0	0	3
19	10	0	0.222670869	161821.59	151334.878	111537.804	161821.59	39797.0748	0	0	0	76435.8	0	0	3
20	10	0	0.234390388	162567.102	151896.49	111537.804	162567.102	40358.6859	0	0	0	77735.5	0	0	3
21	11	0	0.246109908	162938.977	152422.322	111537.804	162938.977	40884.5187	0	0	0	78917.2	0	0	3
22	11	0	0.257829427	163601.068	152930.447	111537.804	163601.068	41392.6434	0	0	0	80039.9	0	0	3
23	12	0	0.269548947	164314.656	153425.413	111537.804	164314.656	41887.609	0	0	0	80982.8	0	0	3
24	12	0	0.281268466	165270.24	153918.947	111537.804	165270.24	42381.1435	0	0	0	82905.5	0	0	3
25	12	0	0.292987985	166222.944	154411.107	111537.804	166222.944	42873.3034	0	0	0	85123.3	0	0	3
26	13	0	0.304707505	166725.76	154884.748	111537.804	166725.76	43346.9439	0	0	0	87570.4	0	0	3
27	13	0	0.316427024	167390.793	155347.934	111537.804	167390.793	43810.1308	0	0	0	89782.7	0	0	3
28	14	0	0.328146544	168185.254	155806.41	111537.804	168185.254	44268.6065	0	0	0	91770.4	0	0	3
29	14	0	0.339866063	169039.822	156262.735	111537.804	169039.822	44724.931	0	0	0	93638.1	0	0	3
30	15	0	0.351585583	169920.594	156717.997	111537.804	169920.594	45180.193	0	0	0	95493.5	0	0	3
31	15	0	0.363305102	170470.629	157161.63	111537.804	170470.629	45623.8263	0	0	0	97643	0	0	3
32	15	0	0.375024621	171125.801	157598.01	111537.804	171125.801	46060.2067	0	0	0	99567.9	0	0	3
33	16	0	0.386744141	171841.084	158029.619	111537.804	171841.084	46491.8149	0	0	0	101241	0	0	3
34	16	0	0.39846366	172596.316	158458.051	111537.804	172596.316	46920.2472	0	0	0	102795	0	0	3
35	17	0	0.41018318	173358.364	158883.774	111537.804	173358.364	47345.9704	0	0	0	104157	0	0	3
36	17	0	0.421902699	173864.187	159299.897	111537.804	173864.187	47762.093	0	0	0	107353	0	0	3
37	18	0	0.433622218	174430.194	159708.824	111537.804	174430.194	48171.02	0	0	0	110386	0	0	3
38	18	0	0.445341738	175052.219	160112.597	111537.804	175052.219	48574.7935	0	0	0	112984	0	0	3
39	18	0	0.457061257	175607.81	160509.91	111537.804	175607.81	48972.1067	0	0	0	115012	0	0	3
40	19	0	0.468780777	176327.337	160905.346	111537.804	176327.337	49367.5423	0	0	0	116839	0	0	3
41	19	0	0.480500296	176739.19	161291.537	111537.804	176739.19	49753.7337	0	0	0	118490	0	0	3
42	20	0	0.492219816	177206.791	161670.472	111537.804	177206.791	50132.6683	0	0	0	119738	0	0	3
43	20	0	0.503939335	177706.612	162043.405	111537.804	177706.612	50505.6018	0	0	0	120437	0	0	3
44	21	0	0.515658854	178238.252	163594.579	122691.584	178238.252	46479.8848	0	0	0	121146	0	0	3
45	21	0	0.527378374	178783.276	164899.037	134960.742	178783.276	41835.6599	0	0	0	121554	0	0	3
46	22	0	0.539097893	179356.297	165931.491	148456.817	179356.297	30899.4803	0	0	0	122186	0	0	3
47	22	0	0.550817413	179929.494	166663.414	153217.787	179929.494	26711.707	0	0	0	122604	0	0	3
48	23	0	0.562536932	180529.775	167273.633	153217.787	180529.775	27311.9878	0	0	0	123354	0	0	3
49	23	0	0.574256451	181008.888	167910.131	153217.787	181008.888	27791.1001	0	0	0	123810	0	0	3
50	23	0	0.585975971	181529.523	168568.543	153435.825	181529.523	27039.7435	0	0	0	124657	0	0	3
51	24	0	0.59769549	182059.472	169234.21	154730.522	182059.472	26238.5517	0	0	0	125118	0	0	3
52	24	0	0.60941501	182605.344	169882.461	156133.38	182605.344	25573.0312	0	0	0	126173	0	0	3
53	25	0	0.621134529	183152.157	170510.805	156306.941	183152.157	25110.692	0	0	0	126727	0	0	3
54	25	0	0.632854049	183709.646	171148.077	156750.062	183709.646	24802.1351	0	0	0	127803	0	0	3
55	26	0	0.644573568	184262.236	171787.895	157721.357	184262.236	24566.9212	0	0	0	128430	0	0	3
56	26	0	0.656293087	184825.001	172418.212	158721.407	184825.001	24375.779	0	0	0	129527	0	0	3
57	27	0	0.668012607	185380.729	173038.197	159761.958	185380.729	24214.4616	0	0	0	130213	0	0	3
58	27	0	0.679732126	185945.531	173647.117	159897.866	185945.531	24131.2487	0	0	0	131322	0	0	3
59	27	0	0.691451646	186502.463	174265.829	160307.742	186502.463	24115.1442	0	0	0	132045	0	0	3
60	28	0	0.703171165	187071.903	174888.251	160979.467	187071.903	24135.9675	0	0	0	133161	0	0	3
61	28	0	0.714890684	187627.184	175507.965	161821.59	187627.184	24173.0868	0	0	0	133884	0	0	3
62	29	0	0.726610204	188195.244	176121.306	162567.102	188195.244	24224.8164	0	0	0	135009	0	0	3
63	29	0	0.738329723	188751.801	176730.253	162938.977	188751.801	24307.9302	0	0	0	135725	0	0	3
64	30	0	0.750049243	189315.131	177343.651	163601.068	189315.131	24413.2043	0	0	0	136868	0	0	3
65	30	0	0.761768762	189859.479	177954.312	164314.656	189859.479	24528.8994	0	0	0	137574	0	0	3
66	31	0	0.773488282	190417.447	178561.354	165270.24	190417.447	24642.4066	0	0	0	138616	0	0	3
67	31	0	0.785207801	190802.847	179155.135	166222.944	190802.847	24579.9031	0	0	0	139177	0	0	3
68	31	0	0.79692732	191381.667	179740.222	166725.76	191381.667	24655.9072	0	0	0	140194	0	0	3
69	32	0	0.80864684	191777.019	180322.809	167390.793	191777.019	24386.2254	0	0	0	140616	0	0	3
70	32	0	0.820366359	192364.093	180903.584	168185.254	192364.093	24178.839	0	0	0	141583	0	0	3
71	33	0	0.832085879	192761.522	181475.125	169039.822	192761.522	23721.7	0	0	0	142107	0	0	3
72	33	0	0.843805398	193349.541	182040.467	169920.594	193349.541	23428.9462	0	0	0	142982	0	0	3
73	34	0	0.855524917	193909.964	182598.36	170470.629	193909.964	23439.3348	0	0	0	143576	0	0	3
74	34	0	0.867244437	194469.24	183156.467	171125.801	194469.24	23343.4394	0	0	0	144648	0	0	3
75	35	0	0.878963956	195007.76	183711.861	171841.084	195007.76	23166.6768	0	0	0	145277	0	0	3
76	35	0	0.890683476	195556.617	184263.385	172596.316	195556.617	22960.3008	0	0	0	146342	0	0	3
77	35	0	0.902402995	195934.784	184806.14	173358.364	195934.784	22576.4206	0	0	0	146882	0	0	3
78	36	0	0.914122515	196501.438	185344.351	173864.187	196501.438	22637.2515	0	0	0	147897	0	0	3
79	36	0	0.925842034	196886.284	185879.749	174430.194	196886.284	22456.0899	0	0	0	148421	0	0	3
