Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	101325.097	101325.097	101325.097	101325.097	0	0	0	0	42774.4	0	0	3
2	3	0	0.0234390388	101325.093	101325.095	101325.093	101325.097	0.00240867413	0	0	0	50134.8	0	0	3
3	3	0	0.0351585583	101325.093	101325.094	101325.093	101325.097	0.00297452683	0	0	0	60524	0	0	3
4	4	0	0.0468780777	101325.094	101325.094	101325.093	101325.097	0.00314694701	0	0	0	63703.7	0	0	3
5	4	0	0.0585975971	101325.093	101325.094	101325.093	101325.097	0.00338255602	0	0	0	65827.1	0	0	3
6	4	0	0.0703171165	101325.092	101325.094	101325.092	101325.097	0.00375324131	0	0	0	66760.7	0	0	3
7	5	0	0.0820366359	101325.091	101325.093	101325.091	101325.097	0.00415405292	0	0	0	67060.8	0	0	3
8	5	0	0.0937561553	101325.09	101325.093	101325.09	101325.097	0.00451977701	0	0	0	67064.5	0	0	3
9	6	0	0.105475675	101325.09	101325.093	101325.09	101325.097	0.00481125207	0	0	0	67441.2	0	0	3
10	6	0	0.117195194	101325.091	101325.092	101325.09	101325.097	0.00498105513	0	0	0	68082.4	0	0	3
11	6	0	0.128914714	101325.092	101325.092	101325.09	101325.097	0.00502854992	0	0	0	68745.6	0	0	3
12	7	0	0.140634233	101325.093	101325.092	101325.09	101325.097	0.00502854992	0	0	0	68899.9	0	0	3
13	7	0	0.152353752	101325.094	101325.092	101325.09	101325.097	0.00502854992	0	0	0	68356.2	0	0	3
14	8	0	0.164073272	101325.095	101325.093	101325.09	101325.097	0.00502854992	0	0	0	69008.2	0	0	3
15	8	0	0.175792791	101325.097	101325.093	101325.09	101325.097	0.00502854992	0	0	0	70657.3	0	0	3
16	9	0	0.187512311	101325.099	101325.093	101325.09	101325.099	0.00502854992	0	0	0	71985	0	0	3
17	9	0	0.19923183	101325.1	101325.094	101325.09	101325.1	0.00502854992	0	0	0	73409.5	0	0	3
18	9	0	0.21095135	101325.102	101325.094	101325.09	101325.102	0.00502854992	0	0	0	74926.2	0	0	3
19	10	0	0.222670869	101325.104	101325.095	101325.09	101325.104	0.00502854992	0	0	0	76435.8	0	0	3
20	10	0	0.234390388	101325.108	101325.095	101325.09	101325.108	0.00502854992	0	0	0	77735.5	0	0	3
21	11	0	0.246109908	101325.116	101325.096	101325.09	101325.116	0.00502854992	0	0	0	78917.2	0	0	3
22	11	0	0.257829427	101325.129	101325.098	101325.09	101325.129	0.00552516134	0	0	0	80039.9	0	0	3
23	12	0	0.269548947	101325.146	101325.1	101325.09	101325.146	0.00762380517	0	0	0	80982.8	0	0	3
24	12	0	0.281268466	101325.164	101325.103	101325.09	101325.164	0.0103008064	0	0	0	82905.5	0	0	3
25	12	0	0.292987985	101325.183	101325.106	101325.09	101325.183	0.013508274	0	0	0	85123.3	0	0	3
26	13	0	0.304707505	101325.211	101325.11	101325.09	101325.211	0.0175378819	0	0	0	87570.4	0	0	3
27	13	0	0.316427024	101325.25	101325.115	101325.09	101325.25	0.0227461809	0	0	0	89782.7	0	0	3
28	14	0	0.328146544	101325.313	101325.122	101325.09	101325.313	0.029824612	0	0	0	91770.4	0	0	3
29	14	0	0.339866063	101325.406	101325.132	101325.09	101325.406	0.0396151248	0	0	0	93638.1	0	0	3
30	15	0	0.351585583	101325.547	101325.146	101325.09	101325.547	0.0534513735	0	0	0	95493.5	0	0	3
31	15	0	0.363305102	101325.92	101325.171	101325.09	101325.92	0.0784300692	0	0	0	97643	0	0	3
32	15	0	0.375024621	101326.596	101325.215	101325.09	101326.596	0.122981357	0	0	0	99567.9	0	0	3
33	16	0	0.386744141	101327.674	101325.29	101325.09	101327.674	0.197482538	0	0	0	101241	0	0	3
34	16	0	0.39846366	101329.297	101325.408	101325.09	101329.297	0.315348064	0	0	0	102795	0	0	3
35	17	0	0.41018318	101331.526	101325.582	101325.09	101331.526	0.490169549	0	0	0	104157	0	0	3
36	17	0	0.421902699	101337.028	101325.9	101325.09	101337.028	0.80808989	0	0	0	107353	0	0	3
37	18	0	0.433622218	101346.65	101326.461	101325.09	101346.65	1.3689034	0	0	0	110386	0	0	3
38	18	0	0.445341738	101362.394	101327.407	101325.09	101362.394	2.31450248	0	0	0	112984	0	0	3
39	18	0	0.457061257	101381.875	101328.803	101325.09	101381.875	3.71111461	0	0	0	115012	0	0	3
40	19	0	0.468780777	101399.161	101330.562	101325.09	101399.161	5.47004834	0	0	0	116839	0	0	3
41	19	0	0.480500296	101414.233	101332.603	101325.09	101414.233	7.51079415	0	0	0	118490	0	0	3
42	20	0	0.492219816	101419.392	101334.669	101325.09	101419.392	9.57720073	0	0	0	119738	0	0	3
43	20	0	0.503939335	101419.116	101336.633	101325.09	101419.392	11.5410762	0	0	0	120437	0	0	3
44	21	0	0.515658854	101415.362	101338.733	101325.09	101419.392	13.6402619	0	0	0	121146	0	0	3
45	21	0	0.527378374	101411.417	101340.74	101325.09	101419.392	15.6477978	0	0	0	121554	0	0	3
46	22	0	0.539097893	101407.114	101342.648	101325.09	101419.392	17.555267	0	0	0	122186	0	0	3
47	22	0	0.550817413	101403.646	101344.474	101325.09	101419.392	19.3820705	0	0	0	122604	0	0	3
48	23	0	0.562536932	101399.618	101346.208	101325.09	101419.392	21.115214	0	0	0	123354	0	0	3
49	23	0	0.574256451	101398.597	101347.917	101325.09	101419.392	22.8246288	0	0	0	123810	0	0	3
50	23	0	0.585975971	101396.754	101349.583	101325.09	101419.392	24.4912064	0	0	0	124657	0	0	3
51	24	0	0.59769549	101397.116	101351.259	101325.09	101419.392	26.1662143	0	0	0	125118	0	0	3
52	24	0	0.60941501	101396.844	101352.927	101325.091	101419.392	27.8348997	0	0	0	126173	0	0	3
53	25	0	0.621134529	101397.887	101354.62	101325.092	101419.392	29.5278234	0	0	0	126727	0	0	3
54	25	0	0.632854049	101398.788	101356.334	101325.093	101419.392	31.2416676	0	0	0	127803	0	0	3
55	26	0	0.644573568	101401.049	101358.1	101325.094	101419.392	33.0079712	0	0	0	128430	0	0	3
