Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0234390388	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0351585583	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0468780777	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0585975971	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0703171165	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0820366359	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.0937561553	0	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.105475675	0	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.117195194	0	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.128914714	0	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.140634233	0	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.152353752	0	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.164073272	0	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.175792791	0	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.187512311	0	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.19923183	0	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.21095135	0	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.222670869	0	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.234390388	0	0	0	0	0	0	0	0	0	0	0	3
21	11	0	0.246109908	0	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.257829427	0	0	0	0	0	0	0	0	0	0	0	3
23	12	0	0.269548947	0	0	0	0	0	0	0	0	0	0	0	3
24	12	0	0.281268466	0	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.292987985	0	0	0	0	0	0	0	0	0	0	0	3
26	13	0	0.304707505	0	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.316427024	0	0	0	0	0	0	0	0	0	0	0	3
28	14	0	0.328146544	0	0	0	0	0	0	0	0	0	0	0	3
29	14	0	0.339866063	0	0	0	0	0	0	0	0	0	0	0	3
30	15	0	0.351585583	0	0	0	0	0	0	0	0	0	0	0	3
31	15	0	0.363305102	0	0	0	0	0	0	0	0	0	0	0	3
32	15	0	0.375024621	0	0	0	0	0	0	0	0	0	0	0	3
33	16	0	0.386744141	0	0	0	0	0	0	0	0	0	0	0	3
34	16	0	0.39846366	0	0	0	0	0	0	0	0	0	0	0	3
35	17	0	0.41018318	0	0	0	0	0	0	0	0	0	0	0	3
36	17	0	0.421902699	0	0	0	0	0	0	0	0	0	0	0	3
37	18	0	0.433622218	0	0	0	0	0	0	0	0	0	0	0	3
38	18	0	0.445341738	0	0	0	0	0	0	0	0	0	0	0	3
39	18	0	0.457061257	0	0	0	0	0	0	0	0	0	0	0	3
40	19	0	0.468780777	0	0	0	0	0	0	0	0	0	0	0	3
41	19	0	0.480500296	0	0	0	0	0	0	0	0	0	0	0	3
42	20	0	0.492219816	0	0	0	0	0	0	0	0	0	0	0	3
43	20	0	0.503939335	0	0	0	0	0	0	0	0	0	0	0	3
44	21	0	0.515658854	0	0	0	0	0	0	0	0	0	0	0	3
45	21	0	0.527378374	0	0	0	0	0	0	0	0	0	0	0	3
46	22	0	0.539097893	0	0	0	0	0	0	0	0	0	0	0	3
47	22	0	0.550817413	0	0	0	0	0	0	0	0	0	0	0	3
48	23	0	0.562536932	0	0	0	0	0	0	0	0	0	0	0	3
49	23	0	0.574256451	0	0	0	0	0	0	0	0	0	0	0	3
50	23	0	0.585975971	0	0	0	0	0	0	0	0	0	0	0	3
51	24	0	0.59769549	0	0	0	0	0	0	0	0	0	0	0	3
52	24	0	0.60941501	0	0	0	0	0	0	0	0	0	0	0	3
53	25	0	0.621134529	0	0	0	0	0	0	0	0	0	0	0	3
54	25	0	0.632854049	0	0	0	0	0	0	0	0	0	0	0	3
