Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	293.195512	293.195512	293.195512	293.195512	0	0	0	0	20.7221	0	0	3
2	3	0	0.0234390388	293.196109	293.19581	293.195512	293.196109	0.000298538567	0	0	0	16.8362	0	0	3
3	3	0	0.0351585583	293.19628	293.195967	293.195512	293.19628	0.000455022982	0	0	0	12.9664	0	0	3
4	4	0	0.0468780777	293.19624	293.196035	293.195512	293.19628	0.00052336432	0	0	0	14.4196	0	0	3
5	4	0	0.0585975971	293.195854	293.195999	293.195512	293.19628	0.00052336432	0	0	0	15.6006	0	0	3
6	4	0	0.0703171165	293.19515	293.195857	293.19515	293.19628	0.00052336432	0	0	0	17.3122	0	0	3
7	5	0	0.0820366359	293.194496	293.195663	293.194496	293.19628	0.00052336432	0	0	0	18.4513	0	0	3
8	5	0	0.0937561553	293.19385	293.195436	293.19385	293.19628	0.000598858343	0	0	0	19.3824	0	0	3
9	6	0	0.105475675	293.193215	293.195189	293.193215	293.19628	0.000845643346	0	0	0	20.1602	0	0	3
10	6	0	0.117195194	293.192564	293.194927	293.192564	293.19628	0.00110816419	0	0	0	20.8223	0	0	3
11	6	0	0.128914714	293.191532	293.194618	293.191532	293.19628	0.0014167951	0	0	0	21.688	0	0	3
12	7	0	0.140634233	293.190521	293.194277	293.190521	293.19628	0.001758229	0	0	0	22.2647	0	0	3
13	7	0	0.152353752	293.189523	293.193911	293.189523	293.19628	0.00212394113	0	0	0	22.7691	0	0	3
14	8	0	0.164073272	293.188519	293.193526	293.188519	293.19628	0.00250910875	0	0	0	23.2278	0	0	3
15	8	0	0.175792791	293.187512	293.193125	293.187512	293.19628	0.00291007118	0	0	0	23.6546	0	0	3
16	9	0	0.187512311	293.186017	293.192681	293.186017	293.19628	0.00335429506	0	0	0	24.2386	0	0	3
17	9	0	0.19923183	293.184594	293.192205	293.184594	293.19628	0.00383000982	0	0	0	24.6531	0	0	3
18	9	0	0.21095135	293.183189	293.191704	293.183189	293.19628	0.00433090618	0	0	0	24.982	0	0	3
19	10	0	0.222670869	293.181781	293.191182	293.181781	293.19628	0.00485318511	0	0	0	25.2791	0	0	3
20	10	0	0.234390388	293.180354	293.190641	293.180354	293.19628	0.0053945718	0	0	0	25.5958	0	0	3
21	11	0	0.246109908	293.178253	293.190051	293.178253	293.19628	0.00598445843	0	0	0	25.9471	0	0	3
22	11	0	0.257829427	293.176173	293.18942	293.176173	293.19628	0.00661524205	0	0	0	26.2208	0	0	3
23	12	0	0.269548947	293.174044	293.188751	293.174044	293.19628	0.00728375169	0	0	0	26.4118	0	0	3
24	12	0	0.281268466	293.171954	293.188051	293.171954	293.19628	0.00798366218	0	0	0	26.6719	0	0	3
25	12	0	0.292987985	293.16988	293.187325	293.16988	293.19628	0.00871052376	0	0	0	26.8631	0	0	3
26	13	0	0.304707505	293.166728	293.186532	293.166728	293.19628	0.00950271005	0	0	0	27.171	0	0	3
27	13	0	0.316427024	293.16361	293.185683	293.16361	293.19628	0.010351689	0	0	0	27.2683	0	0	3
28	14	0	0.328146544	293.160268	293.184776	293.160268	293.19628	0.0112593986	0	0	0	27.4671	0	0	3
29	14	0	0.339866063	293.156603	293.183804	293.156603	293.19628	0.0122308737	0	0	0	27.5898	0	0	3
30	15	0	0.351585583	293.152655	293.182766	293.152655	293.19628	0.0132691694	0	0	0	27.8228	0	0	3
31	15	0	0.363305102	293.146198	293.181586	293.146198	293.19628	0.014448795	0	0	0	27.9786	0	0	3
32	15	0	0.375024621	293.139679	293.180277	293.139679	293.19628	0.015758413	0	0	0	28.1831	0	0	3
33	16	0	0.386744141	293.132067	293.178816	293.132067	293.19628	0.0172193243	0	0	0	28.2446	0	0	3
34	16	0	0.39846366	293.124088	293.177206	293.124088	293.19628	0.0188289687	0	0	0	28.505	0	0	3
35	17	0	0.41018318	293.116357	293.175468	293.116357	293.19628	0.0205675098	0	0	0	28.5925	0	0	3
36	17	0	0.421902699	293.108288	293.173601	293.108288	293.19628	0.0224336227	0	0	0	28.8802	0	0	3
37	18	0	0.433622218	293.104584	293.171736	293.104584	293.19628	0.0242989532	0	0	0	28.8876	0	0	3
38	18	0	0.445341738	293.103174	293.169932	293.103174	293.19628	0.0261032286	0	0	0	29.1724	0	0	3
39	18	0	0.457061257	293.103312	293.168224	293.103174	293.19628	0.0278114213	0	0	0	29.114	0	0	3
40	19	0	0.468780777	293.10361	293.166608	293.103174	293.19628	0.0294267616	0	0	0	29.4421	0	0	3
41	19	0	0.480500296	293.103692	293.165074	293.103174	293.19628	0.0309613003	0	0	0	29.3959	0	0	3
42	20	0	0.492219816	293.105237	293.163649	293.103174	293.19628	0.0323859968	0	0	0	29.6466	0	0	3
43	20	0	0.503939335	293.106223	293.162314	293.103174	293.19628	0.0337214931	0	0	0	29.6056	0	0	3
44	21	0	0.515658854	293.107244	293.160261	293.103174	293.19628	0.0357742225	0	0	0	29.9092	0	0	3
45	21	0	0.527378374	293.108197	293.158216	293.103174	293.19628	0.0378186781	0	0	0	29.9041	0	0	3
46	22	0	0.539097893	293.108924	293.156185	293.103174	293.19624	0.0398502035	0	0	0	30.2269	0	0	3
47	22	0	0.550817413	293.109323	293.154164	293.103174	293.195854	0.0418352744	0	0	0	30.2667	0	0	3
48	23	0	0.562536932	293.109131	293.152147	293.103174	293.19515	0.0437106022	0	0	0	30.6388	0	0	3
49	23	0	0.574256451	293.10889	293.150141	293.103174	293.194496	0.0455221735	0	0	0	30.5248	0	0	3
50	23	0	0.585975971	293.108547	293.148142	293.103174	293.19385	0.0472943291	0	0	0	30.743	0	0	3
51	24	0	0.59769549	293.10813	293.146148	293.103174	293.193215	0.0490410192	0	0	0	30.7399	0	0	3
52	24	0	0.60941501	293.107279	293.14415	293.103174	293.192564	0.0507770096	0	0	0	30.9943	0	0	3
53	25	0	0.621134529	293.106625	293.142151	293.103174	293.191532	0.0524669693	0	0	0	31.0494	0	0	3
54	25	0	0.632854049	293.105792	293.140157	293.103174	293.190521	0.0541194833	0	0	0	31.282	0	0	3
55	26	0	0.644573568	293.1049	293.138166	293.103174	293.189523	0.055744949	0	0	0	31.3348	0	0	3
56	26	0	0.656293087	293.1041	293.13618	293.103174	293.188519	0.0573463488	0	0	0	31.5791	0	0	3
57	27	0	0.668012607	293.103131	293.134194	293.103131	293.187512	0.0589311436	0	0	0	31.5879	0	0	3
58	27	0	0.679732126	293.102455	293.132216	293.102455	293.186017	0.0604649744	0	0	0	31.8882	0	0	3
59	27	0	0.691451646	293.101534	293.130251	293.101534	293.184594	0.061953997	0	0	0	31.8806	0	0	3
60	28	0	0.703171165	293.100731	293.128301	293.100731	293.183189	0.0634033907	0	0	0	32.2307	0	0	3
61	28	0	0.714890684	293.099832	293.126362	293.099832	293.181781	0.0648196423	0	0	0	32.0955	0	0	3
62	29	0	0.726610204	293.098907	293.124435	293.098907	293.180354	0.0662055554	0	0	0	32.4419	0	0	3
63	29	0	0.738329723	293.09784	293.122516	293.09784	293.178253	0.0675345979	0	0	0	32.3806	0	0	3
64	30	0	0.750049243	293.096936	293.120625	293.096936	293.176173	0.068794903	0	0	0	32.6901	0	0	3
65	30	0	0.761768762	293.09603	293.118761	293.09603	293.174044	0.0699901898	0	0	0	32.6189	0	0	3
66	31	0	0.773488282	293.095311	293.11693	293.095311	293.171954	0.0711212747	0	0	0	32.9769	0	0	3
67	31	0	0.785207801	293.094189	293.115122	293.094189	293.16988	0.0722028813	0	0	0	32.7402	0	0	3
68	31	0	0.79692732	293.093604	293.113348	293.093604	293.166728	0.0731235522	0	0	0	33.1764	0	0	3
69	32	0	0.80864684	293.092518	293.111622	293.092518	293.16361	0.0710920286	0	0	0	32.9261	0	0	3
70	32	0	0.820366359	293.092119	293.109959	293.092119	293.160268	0.0681489424	0	0	0	33.3444	0	0	3
71	33	0	0.832085879	293.091053	293.10835	293.091053	293.156603	0.0655500524	0	0	0	33.1522	0	0	3
72	33	0	0.843805398	293.090558	293.106814	293.090558	293.152655	0.0620972746	0	0	0	33.5768	0	0	3
73	34	0	0.855524917	293.089382	293.105342	293.089382	293.146198	0.056815664	0	0	0	33.5206	0	0	3
74	34	0	0.867244437	293.088664	293.104004	293.088664	293.139679	0.0510141179	0	0	0	33.8552	0	0	3
75	35	0	0.878963956	293.087334	293.102787	293.087334	293.132067	0.0447321953	0	0	0	33.8321	0	0	3
76	35	0	0.890683476	293.086655	293.101731	293.086655	293.124088	0.0374324199	0	0	0	34.1155	0	0	3
77	35	0	0.902402995	293.085241	293.100828	293.085241	293.116357	0.0311157913	0	0	0	33.8744	0	0	3
78	36	0	0.914122515	293.08445	293.100086	293.08445	293.109323	0.0248729908	0	0	0	34.2828	0	0	3
79	36	0	0.925842034	293.083	293.099498	293.083	293.109323	0.0263230577	0	0	0	34.0901	0	0	3
80	37	0	0.937561553	293.082347	293.09898	293.082347	293.109323	0.0269760771	0	0	0	34.4572	0	0	3
81	37	0	0.949281073	293.080876	293.098462	293.080876	293.109323	0.0284467175	0	0	0	34.2717	0	0	3
82	38	0	0.961000592	293.080068	293.097921	293.080068	293.109323	0.029255289	0	0	0	34.6873	0	0	3
83	38	0	0.972720112	293.078693	293.097342	293.078693	293.109323	0.0306302713	0	0	0	34.6382	0	0	3
84	39	0	0.984439631	293.077974	293.096744	293.077974	293.109323	0.0313493382	0	0	0	34.9858	0	0	3
85	39	0	0.99615915	293.076618	293.096078	293.076618	293.109323	0.0327049526	0	0	0	34.9151	0	0	3
86	40	0	1.00787867	293.075796	293.095371	293.075796	293.109323	0.0335273898	0.0036145235	0	0	35.1989	0	0	3
